Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
La,40.0,Fe,10.0,Nb,50.0,,,,,,,,,,,,,,,,,,Therm.decomp.,1068,0.30,0.05,6.0,1.0,0.24 ,,11.4,,,,18.9,2.2
La,50.0,Y,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1068,0.30,0.05,6.0,1.0,0.24 ,,14.4,,,,27.1,3.9
La,40.0,Sr,10.0,Y,50.0,,,,,,,,,,,,,,,,,,Therm.decomp.,1068,0.30,0.05,6.0,1.0,0.24 ,,15.4,,,,43.7,6.7
La,50.0,Zr,50.0,,,,,,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80 ,,33.0,,,,33.6,11.1
La,50.0,Sn,50.0,,,,,,,,,,,,,,,,,,,,Sol-gel,973,0.13,0.07,2.0,1.0,0.80 ,,35.0,,,,42.8,15.0
La,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,923,0.38,0.13,3.0,1.0,0.24 ,,6.8,,,,12.1,0.8
La,2.1,Sr,20.0,Mg,77.9,,,,,,,,,,,,,,,,,,Precipitation,1123,0.95,0.05,19.0,1.0,0.05 ,100.0,10.6,,,,85.0,9.0
La,2.0,Ba,20.0,Mg,78.0,,,,,,,,,,,,,,,,,,Precipitation,1123,0.95,0.05,19.0,1.0,0.05 ,100.0,10.0,,,,83.0,8.3
La,50.0,Y,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.10,0.05,2.0,1.0,0.50 ,99.3,36.5,73.3,21.1,5.6,26.7,9.7
La,100.0,,,,,,,,,,,,,,,,,,,,,,Precipitation,1073,0.33,0.07,5.0,1.0,0.03 ,90.0,26.0,,,,58.0,15.1
La,25.0,,,,,,,,,,,F,75.0,,,,,,,,,,Therm.decomp.,1023,0.17,0.06,2.6,1.0,0.60 ,,25.0,,,,50.0,12.5
La,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,873,0.20,0.25,0.8,1.0,0.24 ,,29.1,,24.6,20.2,44.8,13.0
La,25.0,,,,,,,,,,,F,75.0,,,,,,,,,,Therm.decomp.,1023,0.20,0.25,0.8,1.0,0.24 ,,2.1,,0.0,53.8,53.8,1.1
La,100.0,,,,,,,,,,,,,,,Cl,,,,,,,Therm.decomp.,923,0.75,0.25,3.0,1.0,0.24 ,,29.3,58.3,24.6,19.2,43.8,12.8
