Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Sr,9.1,Dy,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,15.0,,,,33.3,5.0
Sr,9.1,Er,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,25.0,,,,56.0,14.0
Sr,0.5,Nd,99.5,,,,,,,,,,,,,,,,,,,,Precipitation,1023,0.60,0.06,10.0,1.0,0.03 ,97.4,12.5,,,,63.8,8.0
Sr,6.7,La,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,973,0.75,0.15,5.0,1.0,0.18 ,98.1,34.2,42.7,36.1,21.2,57.3,19.6
Sr,6.7,Nd,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,98.9,34.3,42.9,33.1,24.0,57.1,19.6
Sr,6.7,Sm,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,1073,0.75,0.15,5.0,1.0,0.18 ,99.5,34.0,44.2,33.1,22.7,55.8,19.0
Sr,6.7,Eu,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,99.0,33.1,47.1,31.9,21.0,52.9,17.5
Sr,6.7,Gd,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,99.5,34.4,45.4,32.0,22.6,54.6,18.8
Sr,6.7,Dy,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,96.3,32.6,48.5,32.0,19.5,51.5,16.8
Sr,6.7,Ho,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,97.3,30.8,54.2,26.7,19.1,45.8,14.1
