Promotor,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Sr_C_mol%,Ca_C_mol%,La_C_mol%,Sm_C_mol%,Li_C_mol%,Th_C_mol%,Zr_C_mol%,Y_C_mol%,Al_C_mol%,Co_C_mol%,Fe_C_mol%,Nb_C_mol%,Bi_C_mol%,Ba_C_mol%,Mg_C_mol%,Ti_C_mol%,Sn_C_mol%,Nd_C_mol%,Pr_C_mol%,Ce_C_mol%,Yb_C_mol%,Eu_C_mol%,Gd_C_mol%,Dy_C_mol%,Er_C_mol%,Ho_C_mol%,Tm_C_mol%,Ni_C_mol%,Pb_C_mol%,Na_C_mol%,K_C_mol%,Rb_C_mol%,Cs_C_mol%,Tl_C_mol%,Mn_C_mol%,W_C_mol%,Cu_C_mol%,Rh_C_mol%,Pd_C_mol%,Si_C_mol%,Mo_C_mol%,Zn_C_mol%,Cr_C_mol%,C_A_mol%,S_A_mol%,Cl_A_mol%,P_A_mol%,F_A_mol%,N_A_mol%,Al_S_mol%,Si_S_mol%,La_S_mol%,Ca_S_mol%
0,n.a.,1051,0.91,0.09,10.0,1.0,0.02,92.0,15.0,23.0,41.0,36.0,77.0,11.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,n.a.,1080,0.91,0.09,10.0,1.0,0.02,74.0,12.0,25.0,37.0,38.0,75.0,9.0,33.3,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,n.a.,1032,0.91,0.09,10.0,1.0,0.02,100.0,15.0,22.0,34.0,44.0,78.0,11.7,33.3,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Therm.decomp.,1051,0.92,0.09,10.0,1.0,0.02,92.0,14.7,23.0,0.0,0.0,77.4,11.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Therm.decomp.,1073,0.03,0.01,2.0,1.0,2.17,95.0,32.0,3.0,0.0,0.0,31.3,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl,n.a.,923,0.09,0.04,2.2,1.0,2.4,0.0,7.0,0.0,23.0,38.0,61.0,4.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl,n.a.,1023,0.1,0.05,2.0,1.0,3.0,0.0,21.0,35.0,41.0,24.0,65.0,13.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5,0.0,0.0,0.0
Cl,n.a.,1023,0.1,0.05,2.0,1.0,1.5,0.0,32.0,44.0,37.0,19.0,56.0,17.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,0.0,0.0,0.0
0,Sol-gel,1023,0.67,0.33,2.0,1.0,0.0,0.0,4.7,0.0,0.0,0.0,93.9,4.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Sol-gel,1023,0.67,0.33,2.0,1.0,0.0,0.0,12.8,0.0,0.0,0.0,47.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
