Promotor,Preparation,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Na_C_mol%,Mg_C_mol%,Ca_C_mol%,Mn_C_mol%,La_C_mol%,Ba_C_mol%,Zr_C_mol%,W_C_mol%,Ti_C_mol%,Ce_C_mol%,S_A_mol%,P_A_mol%,Cl_A_mol%,Si_S_mol%,C_S_mol%,Mg_S_mol%,Ti_S_mol%
0,1,1023,2.0,1.0,1.2,0.0,33.5,59.2,22.4,17.2,39.6,13.3,27.3,0.0,0.0,0.0,0.0,0.0,45.4,0.0,0.0,0.0,0.0,0.0,27.3,0.0,0.0,0.0,0.0
0,1,1023,2.9,1.0,0.54,0.0,31.3,34.4,38.9,22.3,61.2,19.2,8.8,0.0,0.0,0.0,50.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1073,2.0,1.0,1.2,0.0,40.0,0.0,0.0,0.0,60.0,24.0,2.7,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,86.5,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.35,0.0,26.6,0.0,0.0,0.0,58.7,15.6,9.1,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1173,4.0,1.0,0.2,0.0,21.5,0.0,42.8,17.5,60.3,13.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1123,4.6,1.0,1.33,0.0,44.0,0.0,0.0,0.0,52.0,22.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96.9,0.0,0.0,0.0
0,1,1173,2.4,1.0,1.5,93.0,21.5,0.0,36.8,21.5,58.3,12.5,3.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1173,2.4,1.0,1.5,54.0,13.4,0.0,30.1,11.0,41.1,5.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0
0,1,1123,4.5,1.0,1.8,0.0,44.0,0.0,0.0,42.0,52.0,22.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,98.2,0.0,0.0,0.0
0,1,973,5.0,1.0,0.21,14.4,4.2,0.0,0.0,0.0,73.5,3.1,21.9,0.0,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1050,7.5,1.0,0.22,0.0,11.0,0.0,17.0,0.0,63.0,6.9,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0
0,1,1073,3.0,1.0,0.1,0.0,8.8,45.5,21.8,32.7,54.5,4.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96.9,0.0,0.0,0.0
