Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Li,0.7,Mg,99.3,,,,,,,,,,,,,,,,,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50 ,93.0,23.3,,44.0,16.0,60.0,14.0
Li,10.0,Mg,90.0,,,,,,,,,,,,,,,,,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50 ,,22.5,,47.9,7.2,55.1,12.4
Li,0.6,,,,,,,,,,,,,,,,Si,99.4,,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50 ,,14.2,,30.2,9.0,39.2,5.6
Li,3.0,,,,,,,,,,,,,,,,Al,97.0,,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50 ,60.0,14.9,,31.2,10.2,41.4,6.2
Li,0.5,,,,,,,,,,,,,,,,Ti,99.5,,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50 ,,20.5,,37.1,10.1,47.2,9.7
Li,25.0,Sb,25.0,Te,50.0,,,,,,,,,,,,,,,,,,Therm.decomp.,973,0.17,0.03,5.1,1.0,1.20 ,,17.0,,58.0,8.0,66.0,11.2
Li,1.8,,,,,,,,,,,,,,,,Si,98.2,,,,,Impregnation,1123,0.09,0.02,4.5,1.0,1.80 ,,6.0,,,0.0,0.0,0.0
Li,1.2,W,0.6,,,,,,,,,,,,,,Si,98.2,,,,,Impregnation,1123,0.09,0.02,4.5,1.0,1.80 ,,36.0,,,26.0,27.0,9.7
Li,12.9,Mg,87.1,,,,,,,,,,,,,,,,,,,,Impregnation,1173,0.09,0.02,4.1,1.0,0.45 ,,25.0,,,,97.0,24.3
Li,9.1,Mg,90.9,,,,,,,,,,,,,,,,,,,,Precipitation,1023,0.75,0.25,3.0,1.0,0.35 ,,36.1,,,,60.1,21.7
Li,16.7,Mg,83.3,,,,,,,,,,,,,,,,,,,,Impregnation,1053,0.41,0.20,2.0,1.0,0.24 ,,25.1,,28.0,24.0,52.0,13.1
Li,16.7,Y,83.3,,,,,,,,,,,,,,,,,,,,Impregnation,1053,0.41,0.20,2.0,1.0,0.24 ,,39.9,,27.0,19.0,46.0,18.4
Li,16.7,La,83.3,,,,,,,,,,,,,,,,,,,,Impregnation,1053,0.41,0.20,2.0,1.0,0.24 ,,19.8,,32.0,28.0,60.0,11.9
Li,16.7,Sm,83.3,,,,,,,,,,,,,,,,,,,,Impregnation,1053,0.41,0.20,2.0,1.0,0.24 ,,22.3,,28.0,29.0,57.0,12.7
Li,16.7,Ho,83.3,,,,,,,,,,,,,,,,,,,,Impregnation,1053,0.41,0.20,2.0,1.0,0.24 ,,34.7,,23.0,16.0,39.0,13.5
Li,5.0,La,50.0,Al,45.0,,,,,,,,,,,,,,,,,,Sol-gel,1013,0.33,0.07,5.0,1.0,,,17.0,,,,4.8,0.8
Li,18.2,La,15.5,Pr,6.1,Nd,8.1,,,,,,,,,,Ce,52.1,,,,,Precipitation,1123,0.61,0.08,7.3,1.0,0.34 ,,17.2,,,,76.5,13.2
Li,8.9,W,4.5,Mn,3.5,,,,,,,,,,,,Si,83.1,,,,,Impregnation,1073,0.76,0.24,3.2,1.0,0.14 ,,20.5,35.9,35.4,28.7,64.1,13.1
Li,0.6,Mg,99.4,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.50,0.10,5.0,1.0,0.36 ,95.9,24.7,,28.8,18.9,47.7,11.8
Li,6.1,Mg,93.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.50,0.10,5.0,1.0,0.36 ,96.2,28.9,,43.3,25.7,69.0,19.9
Li,15.3,Mg,84.7,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.50,0.10,5.0,1.0,0.36 ,82.5,27.6,,28.6,25.7,54.3,15.0
Li,30.6,Mg,69.4,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.50,0.10,5.0,1.0,0.36 ,42.3,16.0,,43.8,20.4,64.2,10.3
Li,6.5,Mn,4.3,W,5.9,,,,,,,,,,,,Si,83.3,,,,,Impregnation,973,0.88,0.12,7.5,1.0,0.30 ,,19.0,,,,79.0,15.0
Li,10.0,Mg,90.0,,,,,,,,,,,,,,,,,,,,n.a.,1073,0.10,0.03,3.0,1.0,0.06 ,22.0,3.0,,,,69.0,2.1
Li,20.0,Mg,80.0,,,,,,,,,,,,,,,,,,,,n.a.,1073,0.10,0.03,3.0,1.0,0.06 ,44.0,7.0,,,,64.0,4.5
Li,30.0,Mg,70.0,,,,,,,,,,,,,,,,,,,,n.a.,1073,0.10,0.03,3.0,1.0,0.06 ,41.0,10.0,,,,62.0,6.2
