,Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
141,260,723,3,0.288,0.740665902,0.957804848,0.539688569,920,35,1.275701732,0.015901469,0.572742731,0.619103784,0.072896337
142,1732,723,3,0.36,0.740602268,0.957846541,0.541630276,694,2,2.739808083,0.011182913,0.732022774,0.81561097,0.053396094
143,4829,723,3,0.432,0.740650124,0.957861984,0.536146411,828,28,1.700779614,0.019336938,0.54322018,0.625527402,0.0952083
144,2650,723,3,0.504,0.740634034,0.957863745,0.538088099,565,16,6.691864033,0.010191587,0.979212708,0.561125796,0.040794936
145,1116,723,3,0.576,0.740641881,0.957866146,0.536873438,317,12,4.328629412,0.018410951,0.590678338,0.666570541,0.06476711
146,6257,723,3.25,0,0.740625258,0.957880634,0.539393223,856,9,7.149168857,0.012804538,0.847908224,0.534862122,0.06567486
147,4272,723,3.25,0.072,0.740632956,0.957885677,0.536140307,588,25,6.599894998,0.096374587,0.817060206,0.610922242,0.065490394
148,3701,723,3.25,0.144,0.740635867,0.957887089,0.536391464,233,36,6.925556244,0.001037964,0.820193131,0.564316596,0.073844076
149,3208,723,3.25,0.216,0.740619159,0.957889515,0.537622705,920,42,6.075973667,0.013002207,0.722540614,0.59608589,0.02541883
150,2189,723,3.25,0.288,0.740576537,0.957894047,0.536260502,937,28,7.501152212,0.081597517,0.815367458,0.577257061,0.065094641
151,4203,723,3.25,0.36,0.74061848,0.957919307,0.540111974,867,46,4.067979442,0.013767891,0.689304835,0.617734717,0.047401887
152,1034,723,3.25,0.432,0.740590563,0.957925568,0.53815433,839,14,5.643115551,0.000556563,0.718086189,0.63741216,0.024741339
153,889,723,3.25,0.504,0.740557109,0.957929914,0.539699848,827,15,5.974284215,0.050834461,0.945754131,0.560050935,0.096810279
154,86,723,3.25,0.576,0.740573626,0.957944597,0.536612392,459,3,1.761276195,0.011217491,0.558085652,0.674503111,0.075943828
155,7599,723,3.5,0,0.740444467,0.957969189,0.543545303,829,5,6.726170618,0.016581517,0.789148207,0.637299621,0.030667351
156,3199,723,3.5,0.072,0.740552943,0.958013267,0.539154621,775,39,7.550325228,0.028698648,0.944597594,0.613230714,0.088685508
157,3936,723,3.5,0.144,0.740541904,0.958035453,0.538809481,564,2,4.129336669,0.034769662,0.651102382,0.767843128,0.085024286
158,513,723,3.5,0.216,0.740498068,0.958038906,0.536391563,574,34,7.42205751,0.028820848,0.85350061,0.541262559,0.047056738
159,1313,723,3.5,0.288,0.740494383,0.958062325,0.536116401,568,28,2.136608,0.008513225,0.555302381,0.524179193,0.096864805
160,4035,723,3.5,0.36,0.740524364,0.958073509,0.537042826,189,28,3.536035768,0.003906537,0.942587128,0.583289934,0.090457037
161,5269,723,3.5,0.432,0.740507355,0.958110272,0.536190634,789,34,7.160561329,0.010889338,0.724087172,0.596986768,0.070025157
162,3256,723,3.5,0.504,0.740441864,0.958201619,0.537759506,977,49,6.988894544,0.016583727,0.608863589,0.52868892,0.058692087
163,284,723,3.5,0.576,0.740437347,0.958209957,0.539253137,992,42,5.195849635,0.239678668,0.97193055,0.535686941,0.050050379
164,2529,723,3.75,0,0.7404126,0.958212354,0.544344046,871,19,4.278344306,0.014150586,0.733751204,0.581874803,0.070823534
165,3042,723,3.75,0.072,0.740391333,0.958251605,0.539244257,314,10,4.319470043,0.015795122,0.506629454,0.561348074,0.084051024
166,2212,723,3.75,0.144,0.740382751,0.958251747,0.540708976,367,23,2.616677879,0.008829338,0.658395007,0.617450605,0.066969509
167,1752,723,3.75,0.216,0.740361784,0.958290441,0.536587964,736,2,4.958253838,0.036481004,0.804520964,0.721860616,0.052376631
168,5569,723,3.75,0.288,0.740415108,0.958291692,0.540444015,360,38,5.375639077,0.004779676,0.907929966,0.607292398,0.039514926
169,3513,723,3.75,0.36,0.740388912,0.958301217,0.536747673,832,48,2.956844778,0.032536211,0.568840023,0.928667025,0.083434884
170,2591,723,3.75,0.432,0.740411658,0.958302859,0.536785049,828,25,7.234113206,0.006934544,0.877855719,0.562362029,0.048551963
171,2480,723,3.75,0.504,0.740369853,0.958304085,0.538226531,625,5,5.072167833,0.009431663,0.805122361,0.62687373,0.030643132
172,4407,723,3.75,0.576,0.740361925,0.958346548,0.537896044,223,11,4.797626308,0.001862857,0.602080827,0.523674221,0.096437871
173,1244,723,4,0,0.740326076,0.958356336,0.538674062,877,25,7.743701046,0.030541611,0.797713494,0.500326918,0.095027624
174,3371,723,4,0.072,0.740306092,0.95840891,0.537829131,638,39,1.136085596,0.006356625,0.505721907,0.553778706,0.073006346
175,1796,723,4,0.144,0.740306101,0.958409819,0.537605203,448,49,4.774170479,0.212597383,0.920476473,0.664551354,0.05385808
176,677,723,4,0.216,0.740292679,0.958417961,0.540757129,342,28,2.776476461,0.008724517,0.529517527,0.64124837,0.079790711
177,7033,723,4,0.288,0.740238477,0.958444134,0.540287328,993,20,6.849222657,0.038263522,0.636087942,0.56595351,0.073484437
178,4506,723,4,0.36,0.740274299,0.958457727,0.541331765,595,28,4.659096116,0.004608246,0.812519971,0.543724244,0.031439354
179,1018,723,4,0.432,0.740308392,0.95848217,0.540037335,769,11,7.262147242,0.056971111,0.754235589,0.639920982,0.047438549
180,5378,723,4,0.504,0.740302136,0.958491891,0.542714439,973,18,4.091626909,0.012496602,0.93153678,0.644870546,0.097196685
181,2187,723,4,0.576,0.740294007,0.958495292,0.536677795,824,26,6.386964118,0.014737882,0.525169847,0.624639028,0.077804878
182,5086,723,4.25,0,0.740303476,0.958497021,0.538118541,161,15,3.913282576,0.004190635,0.631004181,0.533493186,0.093251219
183,4521,723,4.25,0.072,0.740260177,0.958515955,0.539817191,829,22,6.530791738,0.016127639,0.690118551,0.517389258,0.081755937
184,3855,723,4.25,0.144,0.74025393,0.958528076,0.537402855,913,46,2.247545611,0.001494397,0.559036072,0.93725914,0.093889882
185,7562,723,4.25,0.216,0.740175681,0.958537038,0.538713168,899,4,4.812537686,0.018891849,0.581936671,0.530568202,0.052009251
186,3314,723,4.25,0.288,0.740226897,0.958555034,0.540844138,380,5,3.367907927,0.005808659,0.806232613,0.541311726,0.052773732
187,4116,723,4.25,0.36,0.740242831,0.958571411,0.539308605,411,30,2.748212444,0.182875413,0.656333654,0.525528375,0.027330754
188,3130,723,4.25,0.432,0.740255175,0.958580372,0.536643954,897,4,4.243491112,0.073335806,0.549684101,0.519343725,0.095502315
189,2422,723,4.25,0.504,0.740232625,0.958587761,0.537336549,282,22,5.429556344,0.004757372,0.679960473,0.545860657,0.099628365
190,2476,723,4.25,0.576,0.740215382,0.958589123,0.540232289,826,17,7.26522545,0.007856038,0.7761616,0.585786745,0.059321603
191,3848,723,4.5,0,0.74021455,0.95861311,0.543430645,301,36,2.614145856,0.010681429,0.79458943,0.64389903,0.064941056
192,1938,723,4.5,0.072,0.740187404,0.95863597,0.539729641,310,45,3.207203177,0.021313297,0.611865508,0.59577476,0.073205931
193,7098,723,4.5,0.144,0.740201971,0.958659397,0.541616723,615,21,5.562009262,0.050808274,0.677994547,0.628513364,0.073558585
194,5042,723,4.5,0.216,0.7402133,0.958661318,0.538264936,477,39,5.980407637,0.00054004,0.689958308,0.625108182,0.033909583
195,5229,723,4.5,0.288,0.740205081,0.958679257,0.540232885,624,39,6.046042947,0.007861042,0.607109218,0.532364843,0.057709139
196,3781,723,4.5,0.36,0.740190667,0.958681827,0.537441208,536,39,2.03802318,0.002879284,0.559038851,0.625867742,0.037902984
197,6739,723,4.5,0.432,0.740115205,0.958718664,0.540908523,628,49,6.471770817,0.036216945,0.832868404,0.562939266,0.049197707
198,3431,723,4.5,0.504,0.740183248,0.958724326,0.536978955,961,44,2.846309272,0.008971292,0.854514212,0.529416855,0.090056699
199,1245,723,4.5,0.576,0.740122804,0.958731361,0.539007033,994,8,3.097248239,0.019854844,0.582488957,0.502590554,0.033035113
200,4087,723,4.75,0,0.740154747,0.958733923,0.536696002,988,13,5.401245246,0.00902256,0.987299278,0.534656245,0.018803784
201,2132,723,4.75,0.072,0.740129272,0.958748835,0.536671274,952,26,4.237767734,0.02652706,0.685186401,0.638078102,0.094600255
202,4919,723,4.75,0.144,0.740131772,0.958812237,0.537507309,433,18,5.238881114,0.016645012,0.544153013,0.595163692,0.070263701
203,3879,723,4.75,0.216,0.740092887,0.958825175,0.540603469,628,23,1.373448391,0.008458468,0.576523462,0.501382823,0.076124898
204,1179,723,4.75,0.288,0.740121848,0.958828162,0.536858252,620,40,7.454345441,0.035147147,0.832740527,0.598298995,0.05215481
205,52,723,4.75,0.36,0.740115735,0.958833709,0.543615496,625,46,7.106044828,0.03760521,0.81952858,0.574884727,0.083482322
