,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
115,197,-3.491069165,-1.098207124,0.39917245,0.704578124,1.022290005,0.688158812,934,29,7.540526605,0.056098405,0.793997867,0.629449914,0.043778228
116,198,-3.491069165,-1.098207124,0.785520001,0.743649161,0.95224308,0.503424031,958,37,5.652675335,0,0.5,1,0.1
117,199,-3.491069165,-1.098207124,1.171867551,0.740476379,0.95811778,0.539889052,911,3,1,0,1,0.98079701,0.053604873
118,200,-3.491069165,-1.098207124,1.558215102,0.74048741,0.958134455,0.537398658,932,3,1,0,1,0.787467709,0.1
119,213,-3.491069165,-0.914344499,-1.532565301,0.705734387,1.020294027,0.687215927,322,30,6.87734337,0,0.612210327,0.612473697,0.1
120,214,-3.491069165,-0.914344499,-1.146217751,0.742525906,0.954348785,0.51009517,952,3,1.840226559,0,1,1,0.054842399
121,215,-3.491069165,-0.914344499,-0.759870201,0.702513769,1.025761235,0.690556415,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
122,216,-3.491069165,-0.914344499,-0.37352265,0.702542586,1.025711553,0.690523332,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
123,217,-3.491069165,-0.914344499,0.0128249,0.740463882,0.958102007,0.540941727,973,3,1,0,1,0.857054629,0.1
124,218,-3.491069165,-0.914344499,0.39917245,0.702614985,1.025680879,0.690496336,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
125,219,-3.491069165,-0.914344499,0.785520001,0.702942056,1.025063805,0.689117594,959,2,4.507120221,0.11374476,0.833217534,0.658337943,0.060600438
126,220,-3.491069165,-0.914344499,1.171867551,0.705269282,1.021040607,0.687592053,293,22,3.428121956,0,0.5,0.5,0.1
127,221,-3.491069165,-0.914344499,1.558215102,0.703562602,1.024032277,0.688956766,961,26,7.226202962,0,1,0.5,0.1
128,234,-3.491069165,-0.730481874,-1.532565301,0.703601139,1.023983989,0.686851457,344,28,1,0,0.5,0.5,0.1
129,235,-3.491069165,-0.730481874,-1.146217751,0.702539752,1.025779323,0.690521969,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
130,236,-3.491069165,-0.730481874,-0.759870201,0.703415953,1.024204646,0.688404702,893,41,3.123179463,0.018209329,0.71868848,0.574374109,0.078928399
131,237,-3.491069165,-0.730481874,-0.37352265,0.702536673,1.025721747,0.690515997,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
132,238,-3.491069165,-0.730481874,0.0128249,0.702534089,1.025726203,0.690517208,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
133,239,-3.491069165,-0.730481874,0.39917245,0.702613611,1.025682034,0.690500728,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
134,240,-3.491069165,-0.730481874,0.785520001,0.704009766,1.02321756,0.68851418,292,21,6.268374425,0,1,0.5,0.1
135,241,-3.491069165,-0.730481874,1.171867551,0.704984611,1.021531184,0.686045765,302,15,1,0,0.5,0.5,0.1
136,242,-3.491069165,-0.730481874,1.558215102,0.703586508,1.02398939,0.688939255,930,27,7.053399908,0,1,0.5,0.1
137,255,-3.491069165,-0.546619248,-1.532565301,0.704481025,1.02246531,0.686867698,339,23,5.992418126,0,0.5,0.5,0.1
138,256,-3.491069165,-0.546619248,-1.146217751,0.703862029,1.023489116,0.688553258,361,27,6.072493111,0,0.847595048,0.5,0.08945001
139,257,-3.491069165,-0.546619248,-0.759870201,0.742823209,0.953737227,0.505748369,297,21,6.555056399,0,0.5,1,0.1
140,258,-3.491069165,-0.546619248,-0.37352265,0.742460445,0.954409642,0.516612162,968,3,1,0,1,1,0.1
141,259,-3.491069165,-0.546619248,0.0128249,0.701954026,1.026725807,0.691074865,200,5,2.799471559,0,0.5,0.5,0.1
142,260,-3.491069165,-0.546619248,0.39917245,0.743488326,0.952578525,0.508639774,962,3,1,0,1,1,0.1
143,261,-3.491069165,-0.546619248,0.785520001,0.704024662,1.023168255,0.688427328,304,30,7.5203808,0,1,0.5,0.1
144,262,-3.491069165,-0.546619248,1.171867551,0.704103173,1.023032542,0.688377774,963,32,8.900700079,0,1,0.5,0.1
145,263,-3.491069165,-0.546619248,1.558215102,0.705372326,1.020883878,0.687526413,294,49,4.26943505,0,0.5,0.5,0.1
146,276,-3.491069165,-0.362756623,-1.532565301,0.703943781,1.023394292,0.688740751,357,44,5.165840916,0.011904306,0.674008204,0.510820557,0.062996539
147,277,-3.491069165,-0.362756623,-1.146217751,0.743082575,0.953307391,0.51111216,963,3,1,0,1,1,0.1
148,278,-3.491069165,-0.362756623,-0.759870201,0.70484707,1.021730593,0.686662921,420,20,1,0,0.5,0.5,0.1
149,279,-3.491069165,-0.362756623,-0.37352265,0.743522913,0.952438922,0.503631334,971,18,6.916412022,0,0.5,1,0.1
150,280,-3.491069165,-0.362756623,0.0128249,0.703606898,1.023874894,0.689017128,308,38,5.881996004,0,0.840510373,0.5,0.090326643
151,281,-3.491069165,-0.362756623,0.39917245,0.70459555,1.022246744,0.687323774,315,34,5.028610043,0,0.5,0.5,0.1
152,282,-3.491069165,-0.362756623,0.785520001,0.70414176,1.022965835,0.68835076,894,42,8.979247367,0,1,0.5,0.1
153,283,-3.491069165,-0.362756623,1.171867551,0.704121507,1.023000848,0.688468671,975,24,2.16519099,0.061858666,0.780814249,0.656501139,0.033272972
154,284,-3.491069165,-0.362756623,1.558215102,0.700840749,1.028704869,0.692241817,961,13,5.174510015,0,0.80391659,0.5,0.016845671
155,297,-3.491069165,-0.178893998,-1.532565301,0.701899466,1.026921564,0.690853923,308,25,7.062860921,0,0.905475565,0.5,0.05786183
156,298,-3.491069165,-0.178893998,-1.146217751,0.743471668,0.952585241,0.503973044,979,24,7.965912046,0,0.5,1,0.1
157,299,-3.491069165,-0.178893998,-0.759870201,0.706894742,1.018180213,0.686529432,283,50,3.851499127,0,0.5,0.5,0.1
158,300,-3.491069165,-0.178893998,-0.37352265,0.703943607,1.023293158,0.688545436,346,42,7.657194274,0,1,0.5,0.1
159,301,-3.491069165,-0.178893998,0.0128249,0.698304138,1.032993348,0.694694548,982,1,2.415024078,0,1,1,0.07505156
160,302,-3.491069165,-0.178893998,0.39917245,0.742917287,0.953638238,0.505222456,362,33,6.996732844,0,0.5,1,0.1
161,303,-3.491069165,-0.178893998,0.785520001,0.743601312,0.952307477,0.506042321,963,4,1,0,0.5,1,0.1
162,304,-3.491069165,-0.178893998,1.171867551,0.734697761,0.96870101,0.547902202,226,2,1,0,0.5,1,0.1
163,305,-3.491069165,-0.178893998,1.558215102,0.702931499,1.025103885,0.689740825,961,13,5.0897872,0,0.810483402,0.590438266,0.019921706
164,318,-3.491069165,0.004968627,-1.532565301,0.705614077,1.020503306,0.686662584,311,36,4.691315676,0,0.5,0.5,0.1
165,319,-3.491069165,0.004968627,-1.146217751,0.702233405,1.026299619,0.688482386,952,22,4.70212575,0,0.529914081,0.5,0.041811211
166,320,-3.491069165,0.004968627,-0.759870201,0.74278753,0.953803383,0.506912212,948,5,7.727233335,0,0.5,1,0.075897285
167,321,-3.491069165,0.004968627,-0.37352265,0.743326774,0.952803037,0.504019674,312,25,3.541960971,0,0.5,1,0.1
168,322,-3.491069165,0.004968627,0.0128249,0.698444151,1.032753622,0.691306698,938,1,1,0,1,0.5,0.1
169,323,-3.491069165,0.004968627,0.39917245,0.740313398,0.958455582,0.538235543,946,3,2.086582918,0.007806722,0.587377461,0.894169339,0.084309547
170,324,-3.491069165,0.004968627,0.785520001,0.74357518,0.952356005,0.50409231,963,37,8.753666958,0,0.5,1,0.1
171,325,-3.491069165,0.004968627,1.171867551,0.743445555,0.952596686,0.503836387,972,23,6.535476747,0,0.5,1,0.1
172,326,-3.491069165,0.004968627,1.558215102,0.70411835,1.023054082,0.688419713,959,36,8.457859304,0,1,0.5,0.09118474
173,339,-3.491069165,0.188831252,-1.532565301,0.704060684,1.023182759,0.688524965,301,34,7.394092635,0,1,0.5,0.1
174,340,-3.491069165,0.188831252,-1.146217751,0.743398106,0.952709513,0.504215646,941,9,7.67121779,0,0.5,1,0.091839517
175,341,-3.491069165,0.188831252,-0.759870201,0.741531586,0.956129212,0.516006437,775,3,1,0,0.946538277,1,0.028178145
176,342,-3.491069165,0.188831252,-0.37352265,0.743444692,0.952584149,0.504325256,954,11,8.68860848,0,0.5,1,0.1
177,343,-3.491069165,0.188831252,0.0128249,0.70435807,1.022576628,0.688352322,311,5,10,0,1,0.625536781,0.1
178,344,-3.491069165,0.188831252,0.39917245,0.742139771,0.955058507,0.508787067,283,6,6.287787355,0,0.5,1,0.1
179,345,-3.491069165,0.188831252,0.785520001,0.704314461,1.022652045,0.684475222,969,35,1,0,0.5,0.5,0.1
180,346,-3.491069165,0.188831252,1.171867551,0.704281042,1.022709834,0.684610649,974,13,1,0,0.5,0.5,0.1
181,347,-3.491069165,0.188831252,1.558215102,0.703897028,1.023405039,0.688379452,954,25,8.795784158,0,1,0.5,0.1
182,360,-3.491069165,0.372693877,-1.532565301,0.74261833,0.954202803,0.505453261,316,32,5.913031587,0,0.5,1,0.1
183,361,-3.491069165,0.372693877,-1.146217751,0.702715007,1.025456085,0.690095247,302,32,2.557413018,0,0.864540572,0.659633231,0.064532368
184,362,-3.491069165,0.372693877,-0.759870201,0.703475455,1.024101901,0.689520077,231,39,2.257678166,0,0.5,0.5,0.1
185,363,-3.491069165,0.372693877,-0.37352265,0.704346789,1.022596137,0.688373924,399,20,10,0,1,0.5,0.1
186,364,-3.491069165,0.372693877,0.0128249,0.741061211,0.956998824,0.517394502,329,3,1,0,1,1,0.1
187,365,-3.491069165,0.372693877,0.39917245,0.743222992,0.953050388,0.510672313,963,3,4.486542362,0,0.5,1,0.1
188,366,-3.491069165,0.372693877,0.785520001,0.703686853,1.023736785,0.687855048,939,21,4.187654819,0.012481855,0.5730757,0.633180746,0.032935707
189,367,-3.491069165,0.372693877,1.171867551,0.735703181,0.966849365,0.55101183,869,2,1.356898704,0.06588658,0.794020593,0.821042061,0.068135232
190,368,-3.491069165,0.372693877,1.558215102,0.703844181,1.023496361,0.688479992,334,13,8.429632549,0,1,0.5,0.1
191,381,-3.491069165,0.556556502,-1.532565301,0.743395547,0.952761008,0.506838731,974,4,7.485475995,0,0.5,1,0.1
192,382,-3.491069165,0.556556502,-1.146217751,0.743480217,0.952557072,0.503684671,938,21,7.020723652,0,0.61095446,1,0.1
193,383,-3.491069165,0.556556502,-0.759870201,0.703096134,1.024756718,0.6887898,946,3,2.066976043,0,0.545325807,0.502818524,0.021563335
194,384,-3.491069165,0.556556502,-0.37352265,0.742364751,0.954586941,0.505975661,322,24,6.042176841,0,0.5,1,0.1
195,385,-3.491069165,0.556556502,0.0128249,0.702298493,1.026132315,0.690698924,210,12,1.706663456,0,0.5,0.5,0.1
196,386,-3.491069165,0.556556502,0.39917245,0.704209917,1.022891572,0.68693739,339,23,4.574272749,0,0.5,0.524776009,0.1
197,387,-3.491069165,0.556556502,0.785520001,0.70359961,1.023887482,0.68901113,306,27,6.316661721,0,0.868062897,0.536910822,0.1
198,388,-3.491069165,0.556556502,1.171867551,0.743068265,0.953282724,0.511025372,985,3,5.379181936,0,1,1,0.1
199,389,-3.491069165,0.556556502,1.558215102,0.70386944,1.023452713,0.68846922,331,36,8.225367998,0,1,0.5,0.1
200,402,-3.491069165,0.740419127,-1.532565301,0.703284704,1.02452332,0.689379646,195,26,3.747209197,0,1,0.5,0.1
201,403,-3.491069165,0.740419127,-1.146217751,0.706491266,1.01892235,0.683427636,372,13,1,0,0.5,0.5,0.1
202,404,-3.491069165,0.740419127,-0.759870201,0.703780813,1.023574461,0.688986143,297,7,5.34842882,0,0.874085746,0.5,0.1
203,405,-3.491069165,0.740419127,-0.37352265,0.740204283,0.958581054,0.537491294,946,3,2.071261748,0,0.605851229,0.858308637,0.073930617
204,406,-3.491069165,0.740419127,0.0128249,0.739867975,0.9592013,0.538434703,946,3,2.073245289,0,0.531226321,0.760729782,0.059797764
205,407,-3.491069165,0.740419127,0.39917245,0.743212269,0.953070288,0.50488099,311,13,5.72500243,0,0.5,1,0.1
