Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE
1140.6,1,1.152,0.698947893,1.031792902,0.771915208
1140.6,1,1.224,0.703413201,1.024112363,0.749699947
1140.6,1,1.296,0.707878508,1.016373785,0.727484686
1140.6,1,1.368,0.712343816,1.008575833,0.705269425
1140.6,1,1.44,0.716809124,1.000717118,0.683054164
1140.6,1.25,0.648,0.667795368,1.083863378,0.927156368
1140.6,1.25,0.72,0.672260675,1.076554393,0.904941107
1140.6,1.25,0.792,0.676673669,1.069281954,0.882858679
1140.6,1.25,0.864,0.681138976,1.061872609,0.860643418
1140.6,1.25,0.936,0.68555197,1.054498921,0.838560991
1140.6,1.25,1.008,0.690017278,1.046984963,0.81634573
1140.6,1.25,1.08,0.694482585,1.039416689,0.794130469
1140.6,1.25,1.152,0.698947893,1.031792902,0.771915208
1140.6,1.25,1.224,0.703413201,1.024112363,0.749699947
1140.6,1.25,1.296,0.707878508,1.016373785,0.727484686
1140.6,1.25,1.368,0.712343816,1.008575833,0.705269425
1140.6,1.25,1.44,0.716809124,1.000717118,0.683054164
1163.8,1,0.648,0.620671117,1.158124759,0.993010361
1163.8,1,0.72,0.629724385,1.144221084,0.965553798
1163.8,1,0.792,0.638724795,1.130229056,0.938250536
1163.8,1,0.864,0.647778063,1.11597789,0.910793973
1163.8,1,0.936,0.656778474,1.101627197,0.88349071
1163.8,1,1.008,0.665831742,1.08700111,0.856034147
1163.8,1,1.08,0.67488501,1.07217552,0.828577584
1163.8,1,1.152,0.683938277,1.057142033,0.801121021
1163.8,1,1.224,0.692991545,1.04189165,0.773664458
1163.8,1,1.296,0.702044813,1.026414704,0.746207895
1163.8,1,1.368,0.711098081,1.010700785,0.718751332
1163.8,1,1.44,0.720151349,0.994738664,0.691294769
1163.8,1.25,0.648,0.620671117,1.158124759,0.993010361
1163.8,1.25,0.72,0.629724385,1.144221084,0.965553798
1163.8,1.25,0.792,0.638724795,1.130229056,0.938250536
1163.8,1.25,0.864,0.647778063,1.11597789,0.910793973
1163.8,1.25,0.936,0.656778474,1.101627197,0.88349071
1163.8,1.25,1.008,0.665831742,1.08700111,0.856034147
1163.8,1.25,1.08,0.67488501,1.07217552,0.828577584
1163.8,1.25,1.152,0.683938277,1.057142033,0.801121021
1163.8,1.25,1.224,0.692991545,1.04189165,0.773664458
1163.8,1.25,1.296,0.702044813,1.026414704,0.746207895
1163.8,1.25,1.368,0.711098081,1.010700785,0.718751332
1163.8,1.25,1.44,0.720151349,0.994738664,0.691294769
1187,1,0.648,0.750460875,0.939257899,0.500979889
