Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
1071.0,4.5,0.144,8.023590922
1071.0,4.5,0.216,6.430188334
1071.0,4.5,0.288,6.430188334
1071.0,4.5,0.36,12.66628608
1071.0,4.5,0.432,8.516371441
1071.0,4.5,0.504,8.516371441
1071.0,4.75,0.072,12.72221186
1071.0,4.75,0.144,8.023590922
1071.0,4.75,0.216,6.430188334
1071.0,4.75,0.288,6.430188334
1071.0,4.75,0.36,12.66628608
1071.0,4.75,0.432,8.516371441
1071.0,4.75,0.504,8.516371441
1071.0,5.0,0.072,11.96871329
1071.0,5.0,0.144,7.270108551
1071.0,5.0,0.216,5.656974337
1071.0,5.0,0.288,5.656974337
1071.0,5.0,0.36,11.89305809
1071.0,5.0,0.432,7.743149346
1071.0,5.0,0.504,7.743149346
1071.0,5.25,0.072,11.96871329
1071.0,5.25,0.144,7.270108551
1071.0,5.25,0.216,5.656974337
1071.0,5.25,0.288,5.656974337
1071.0,5.25,0.36,11.89305809
1071.0,5.25,0.432,7.743149346
1071.0,5.25,0.504,7.743149346
1071.0,5.5,0.072,11.96871329
1071.0,5.5,0.144,7.270108551
1071.0,5.5,0.216,5.656974337
1071.0,5.5,0.288,5.656974337
1071.0,5.5,0.36,11.89305809
1071.0,5.5,0.432,7.743149346
1071.0,5.5,0.504,7.743149346
1071.0,5.75,0.072,11.96871329
1071.0,5.75,0.144,7.270108551
1071.0,5.75,0.216,5.656974337
1071.0,5.75,0.288,5.656974337
1071.0,5.75,0.36,11.89305809
1071.0,5.75,0.432,7.743149346
1071.0,5.75,0.504,7.743149346
1071.0,6.0,0.072,11.96871329
1071.0,6.0,0.144,7.270108551
1071.0,6.0,0.216,5.656974337
1071.0,6.0,0.288,5.656974337
1071.0,6.0,0.36,11.89305809
1071.0,6.0,0.432,7.743149346
1071.0,6.0,0.504,7.743149346
1094.2,4.0,0.072,20.55323889
1094.2,4.0,0.144,15.15445551
1094.2,4.0,0.216,12.83041227
1094.2,4.0,0.288,12.83041227
1094.2,4.0,0.36,18.61806879
1094.2,4.0,0.432,14.42183765
1094.2,4.0,0.504,14.42183765
1094.2,4.25,0.072,20.55323889
1094.2,4.25,0.144,15.15445551
1094.2,4.25,0.216,12.83041227
1094.2,4.25,0.288,12.83041227
1094.2,4.25,0.36,18.61806879
1094.2,4.25,0.432,14.42183765
1094.2,4.25,0.504,14.42183765
1094.2,4.5,0.072,20.55323889
1094.2,4.5,0.144,15.15445551
1094.2,4.5,0.216,12.83041227
1094.2,4.5,0.288,12.83041227
1094.2,4.5,0.36,18.61806879
1094.2,4.5,0.432,14.42183765
1094.2,4.5,0.504,14.42183765
1094.2,4.75,0.072,20.55323889
1094.2,4.75,0.144,15.15445551
1094.2,4.75,0.216,12.83041227
1094.2,4.75,0.288,12.83041227
1094.2,4.75,0.36,18.61806879
1094.2,4.75,0.432,14.42183765
1094.2,4.75,0.504,14.42183765
1094.2,5.0,0.072,19.7435466
1094.2,5.0,0.144,14.34476322
1094.2,5.0,0.216,12.00096333
1094.2,5.0,0.288,12.00096333
1094.2,5.0,0.36,17.78863825
1094.2,5.0,0.432,13.59240564
1094.2,5.0,0.504,13.59240564
1094.2,5.25,0.072,19.7435466
1094.2,5.25,0.144,14.34476322
1094.2,5.25,0.216,12.00096333
1094.2,5.25,0.288,12.00096333
1094.2,5.25,0.36,17.78863825
1094.2,5.25,0.432,13.59240564
1094.2,5.25,0.504,13.59240564
1094.2,5.5,0.072,19.7435466
1094.2,5.5,0.144,14.34476322
1094.2,5.5,0.216,12.00096333
1094.2,5.5,0.288,12.00096333
1094.2,5.5,0.36,17.78863825
1094.2,5.5,0.432,13.59240564
1094.2,5.5,0.504,13.59240564
1094.2,5.75,0.072,19.7435466
1094.2,5.75,0.144,14.34476322
1094.2,5.75,0.216,12.00096333
1094.2,5.75,0.288,12.00096333
1094.2,5.75,0.36,17.78863825
1094.2,5.75,0.432,13.59240564
1094.2,5.75,0.504,13.59240564
1094.2,6.0,0.072,19.7435466
1094.2,6.0,0.144,14.34476322
1094.2,6.0,0.216,12.00096333
1094.2,6.0,0.288,12.00096333
1094.2,6.0,0.36,17.78863825
1094.2,6.0,0.432,13.59240564
1094.2,6.0,0.504,13.59240564
