Mg_C_mol%,Nb_C_mol%,Fe_C_mol%,K_C_mol%,Na_C_mol%,Ce_C_mol%,Rh_C_mol%,Ag_C_mol%,La_C_mol%,Ga_C_mol%,Cs_C_mol%, Na _C_mol%,Pt_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Na _C_mol%,Li_C_mol%,Ti_C_mol%,Ir_C_mol%,Sn_C_mol%,Ge_C_mol%,P_A_mol%,S_A_mol%,Cl_A_mol%,Si_S_mol%,Ca_S_mol%,Al_S_mol%,La_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Fe_S_mol%,Zr_S_mol%,Sr_S_mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(CH4),S(C2),Y(C2)
0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.75,0.0,0.0,21.18,0.0,0.0,0.0,0.0,0.0,0.0,17.21,57.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.06,0.04,1.6,1.0,0.0,14.1,79.0,11.1
0.0,0.0,0.0,21.18,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21,58.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.06,0.04,1.6,1.0,0.0,35.9,72.4,26.0
0.0,0.0,0.0,0.0,86.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.19,15.9,53.0,8.4
0.0,0.0,0.0,0.0,86.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,12.0,68.1,8.2
0.0,0.0,0.0,0.0,82.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,8.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,15.4,53.0,8.1
0.0,0.0,0.0,0.0,81.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,1.08,7.91,0.0,0.0,0.0,0.0,0.0,0.0,2.29,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.17,21.7,36.4,7.9
0.0,0.0,0.0,0.0,78.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.19,22.6,32.9,7.4
0.0,0.0,0.0,0.0,76.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.19,12.4,62.5,7.8
0.0,0.0,0.0,0.0,75.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,0.51,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,16.3,45.7,7.5
0.0,0.0,0.0,0.0,75.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.41,5.75,0.0,0.0,0.0,0.0,0.0,0.0,2.77,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,18.6,67.3,12.5
0.0,0.0,0.0,0.0,74.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.12,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,10.8,69.2,7.5
0.0,0.0,0.0,0.0,71.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,2.35,8.59,0.0,0.0,0.0,0.0,0.0,0.0,7.45,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.17,17.0,49.7,8.4
0.0,0.0,0.0,0.0,69.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.19,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,15.4,77.7,12.0
0.0,0.0,0.0,0.0,69.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.19,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,15.4,77.7,12.0
0.0,0.0,0.0,0.0,69.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.31,13.49,0.0,0.0,0.0,0.0,0.0,0.0,5.2,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,12.8,60.9,7.8
0.0,0.0,0.0,0.0,69.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.31,12.76,0.0,0.0,0.0,0.0,0.0,0.0,7.37,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.17,16.3,47.5,7.8
0.0,0.0,0.0,0.0,67.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.16,16.1,51.8,8.4
0.0,0.0,0.0,0.0,66.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.79,19.64,0.0,0.0,0.0,0.0,0.0,0.0,1.89,8.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.17,14.8,53.1,7.9
0.0,0.0,0.0,0.0,66.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.65,8.06,0.0,0.0,0.0,0.0,0.0,0.0,4.66,18.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,12.5,64.2,8.0
0.0,0.0,0.0,0.0,65.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,13.99,0.0,0.0,0.0,0.0,0.0,0.0,2.02,15.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,14.1,58.6,8.2
0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,19.8,0.0,0.0,0.0,0.0,0.0,0.0,4.29,11.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.17,8.8,81.8,7.2
0.0,0.0,0.0,0.0,62.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,16.5,65.9,10.9
0.0,0.0,0.0,0.0,60.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,32.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.15,13.1,59.5,7.8
0.0,0.0,0.0,0.0,58.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69,0.0,0.0,0.0,0.0,0.0,0.0,13.52,15.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.18,14.3,57.1,8.2
0.0,0.0,0.0,0.0,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,1.54,22.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.16,12.9,60.5,7.8
0.0,0.0,0.0,0.0,56.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.46,27.09,0.0,0.0,0.0,0.0,0.0,0.0,3.91,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1069,0.25,0.75,0.3,1.0,0.16,14.6,57.6,8.4
