Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
1094.2,3.5,0.072,19.89566378,11.7234,9.93242,8.172263664033203
1094.2,3.5,0.144,14.57415358,10.788738,9.0588875,3.785415329267579
1094.2,3.5,0.216,12.80682413,10.778913,9.0490675,2.0279115857495125
1094.2,3.5,0.288,12.80682413,10.778913,9.0490675,2.0279115857495125
1094.2,3.5,0.36,18.80365134,11.450593,9.666927,7.353058345310057
1094.2,3.5,0.432,14.60741726,10.947419,9.197903,3.659998093435058
1094.2,3.5,0.504,14.60741726,10.947419,9.197903,3.659998093435058
1094.2,3.5,0.576,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,0.648,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,0.72,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,0.792,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,0.864,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,0.936,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,1.008,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,1.08,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,1.152,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,1.224,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,1.296,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,1.368,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,1.44,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,0.0,22.18488425,11.505609,9.7077055,10.679275691345214
1094.2,3.75,0.072,19.89566378,11.7234,9.93242,8.172263664033203
1094.2,3.75,0.144,14.57415358,10.788738,9.0588875,3.785415329267579
1094.2,3.75,0.216,12.80682413,10.778913,9.0490675,2.0279115857495125
1094.2,3.75,0.288,12.80682413,10.778913,9.0490675,2.0279115857495125
1094.2,3.75,0.36,18.80365134,11.450593,9.666927,7.353058345310057
1094.2,3.75,0.432,14.60741726,10.947419,9.197903,3.659998093435058
1094.2,3.75,0.504,14.60741726,10.947419,9.197903,3.659998093435058
1094.2,3.75,0.576,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,0.648,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,0.72,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,0.792,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,0.864,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,0.936,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,1.008,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,1.08,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,1.152,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,1.224,17.15881623,10.947419,9.197903,6.211397063435058
