Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
723.0,2.25,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,2.25,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,2.25,0.36,5.958626398,4.0622745,7.883403,1.89635194197583
723.0,2.25,0.432,2.044605542,3.4949603,8.3045225,1.450354766074951
723.0,2.25,0.504,2.044605542,3.4949603,8.3045225,1.450354766074951
723.0,2.25,0.576,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,0.648,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,0.72,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,0.792,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,0.864,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,0.936,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,1.008,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,1.08,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,1.152,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,1.224,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,1.296,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,1.368,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.25,1.44,4.701343831,3.4949603,8.3045225,1.2063835229250488
723.0,2.5,0.0,6.782047281,4.033523,7.898583,2.7485241982668454
723.0,2.5,0.072,3.476320872,4.077863,7.8591523,0.6015423444001464
723.0,2.5,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,2.5,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,2.5,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,2.5,0.36,5.940193284,4.0622745,7.883403,1.8779188279758303
723.0,2.5,0.432,2.026172611,3.4949603,8.3045225,1.4687876970749514
723.0,2.5,0.504,2.026172611,3.4949603,8.3045225,1.4687876970749514
723.0,2.5,0.576,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,0.648,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,0.72,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,0.792,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,0.864,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,0.936,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,1.008,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,1.08,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,1.152,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,1.224,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,1.296,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,1.368,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.5,1.44,4.682910717,3.4949603,8.3045225,1.1879504089250492
723.0,2.75,0.0,6.560958847,4.033523,7.898583,2.527435764266846
723.0,2.75,0.072,3.335918263,4.077863,7.8591523,0.7419449534001465
723.0,2.75,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,2.75,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,2.75,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,2.75,0.36,5.807724179,4.0622745,7.883403,1.74544972297583
723.0,2.75,0.432,1.893703691,3.4949603,8.3045225,1.6012566170749511
723.0,2.75,0.504,1.893703691,3.4949603,8.3045225,1.6012566170749511
723.0,2.75,0.576,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,0.648,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,0.72,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,0.792,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,0.864,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,0.936,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,1.008,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,1.08,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,1.152,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,1.224,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,1.296,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,1.368,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,2.75,1.44,4.550441612,3.4949603,8.3045225,1.055481303925049
723.0,3.0,0.0,6.887156007,4.033523,7.898583,2.853632924266845
723.0,3.0,0.072,2.836903934,4.077863,7.8591523,1.2409592824001463
723.0,3.0,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,3.0,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,3.0,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,3.0,0.36,4.696822231,4.0622745,7.883403,0.6345477749758297
723.0,3.0,0.432,0.695549291,3.4949603,8.3045225,2.7994110170749518
723.0,3.0,0.504,0.695549291,3.4949603,8.3045225,2.7994110170749518
723.0,3.0,0.576,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,0.648,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,0.72,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,0.792,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,0.864,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,0.936,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,1.008,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,1.08,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,1.152,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,1.224,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,1.296,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,1.368,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.0,1.44,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,0.0,6.887156007,4.033523,7.898583,2.853632924266845
723.0,3.25,0.072,2.836903934,4.077863,7.8591523,1.2409592824001463
723.0,3.25,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,3.25,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,3.25,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,3.25,0.36,4.696822231,4.0622745,7.883403,0.6345477749758297
723.0,3.25,0.432,0.695549291,3.4949603,8.3045225,2.7994110170749518
723.0,3.25,0.504,0.695549291,3.4949603,8.3045225,2.7994110170749518
723.0,3.25,0.576,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,0.648,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,0.72,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,0.792,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,0.864,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,0.936,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,1.008,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,1.08,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,1.152,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,1.224,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,1.296,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,1.368,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.25,1.44,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,0.0,6.887156007,4.033523,7.898583,2.853632924266845
723.0,3.5,0.072,2.836903934,4.077863,7.8591523,1.2409592824001463
723.0,3.5,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,3.5,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,3.5,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,3.5,0.36,4.696822231,4.0622745,7.883403,0.6345477749758297
723.0,3.5,0.432,0.695549291,3.4949603,8.3045225,2.7994110170749518
