,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
2913,862.2,2.75,0.216,0.0
2914,862.2,2.75,0.288,0.0
2915,862.2,2.75,0.36,5.807724179
2916,862.2,2.75,0.432,1.8937036909999998
2917,862.2,2.75,0.504,1.8937036909999998
2918,862.2,2.75,0.576,4.550441612
2931,862.2,3.0000000000000004,0.0,6.887156007
2932,862.2,3.0000000000000004,0.072,2.836903934
2933,862.2,3.0000000000000004,0.144,0.0
2934,862.2,3.0000000000000004,0.216,0.0
2935,862.2,3.0000000000000004,0.288,0.0
2936,862.2,3.0000000000000004,0.36,4.696822231
2937,862.2,3.0000000000000004,0.432,0.695549291
2938,862.2,3.0000000000000004,0.504,0.695549291
2939,862.2,3.0000000000000004,0.576,3.352292825
2952,862.2,3.25,0.0,6.887156007
2953,862.2,3.25,0.072,2.836903934
2954,862.2,3.25,0.144,0.0
2955,862.2,3.25,0.216,0.0
2956,862.2,3.25,0.288,0.0
2957,862.2,3.25,0.36,4.696822231
2958,862.2,3.25,0.432,0.695549291
2959,862.2,3.25,0.504,0.695549291
2960,862.2,3.25,0.576,3.352292825
2973,862.2,3.4999999999999996,0.0,6.887156007
2974,862.2,3.4999999999999996,0.072,2.836903934
2975,862.2,3.4999999999999996,0.144,0.0
2976,862.2,3.4999999999999996,0.216,0.0
2977,862.2,3.4999999999999996,0.288,0.0
2978,862.2,3.4999999999999996,0.36,4.696822231
2979,862.2,3.4999999999999996,0.432,0.695549291
2980,862.2,3.4999999999999996,0.504,0.695549291
2981,862.2,3.4999999999999996,0.576,3.352292825
2994,862.2,3.75,0.0,6.887156007
2995,862.2,3.75,0.072,2.836903934
2996,862.2,3.75,0.144,0.0
2997,862.2,3.75,0.216,0.0
2998,862.2,3.75,0.288,0.0
2999,862.2,3.75,0.36,4.696822231
3000,862.2,3.75,0.432,0.695549291
3001,862.2,3.75,0.504,0.695549291
3002,862.2,3.75,0.576,3.352292825
3015,862.2,4.0,0.0,5.678959586
3016,862.2,4.0,0.072,2.012875387
3017,862.2,4.0,0.144,0.0
3018,862.2,4.0,0.216,0.0
3019,862.2,4.0,0.288,0.0
3020,862.2,4.0,0.36,3.029642463
3021,862.2,4.0,0.432,0.0
3022,862.2,4.0,0.504,0.0
3023,862.2,4.0,0.576,1.453188977
3036,862.2,4.25,0.0,5.678959586
3037,862.2,4.25,0.072,2.012875387
3038,862.2,4.25,0.144,0.0
3039,862.2,4.25,0.216,0.0
3040,862.2,4.25,0.288,0.0
3041,862.2,4.25,0.36,3.029642463
3042,862.2,4.25,0.432,0.0
3043,862.2,4.25,0.504,0.0
3044,862.2,4.25,0.576,1.453188977
3057,862.2,4.499999999999999,0.0,5.678959586
3058,862.2,4.499999999999999,0.072,2.012875387
3059,862.2,4.499999999999999,0.144,0.0
3060,862.2,4.499999999999999,0.216,0.0
3061,862.2,4.499999999999999,0.288,0.0
3062,862.2,4.499999999999999,0.36,3.029642463
3063,862.2,4.499999999999999,0.432,0.0
3064,862.2,4.499999999999999,0.504,0.0
3065,862.2,4.499999999999999,0.576,1.453188977
3078,862.2,4.749999999999999,0.0,5.678959586
3079,862.2,4.749999999999999,0.072,2.012875387
3080,862.2,4.749999999999999,0.144,0.0
3081,862.2,4.749999999999999,0.216,0.0
3082,862.2,4.749999999999999,0.288,0.0
3083,862.2,4.749999999999999,0.36,3.029642463
3084,862.2,4.749999999999999,0.432,0.0
3085,862.2,4.749999999999999,0.504,0.0
3086,862.2,4.749999999999999,0.576,1.453188977
3099,862.2,5.0,0.0,5.016068602
3100,862.2,5.0,0.072,1.349984495
3101,862.2,5.0,0.144,0.0
3102,862.2,5.0,0.216,0.0
3103,862.2,5.0,0.288,0.0
3104,862.2,5.0,0.36,2.347010836
3105,862.2,5.0,0.432,0.0
3106,862.2,5.0,0.504,0.0
3107,862.2,5.0,0.576,0.770557994
3120,862.2,5.25,0.0,5.016068602
3121,862.2,5.25,0.072,1.349984495
3122,862.2,5.25,0.144,0.0
3123,862.2,5.25,0.216,0.0
3124,862.2,5.25,0.288,0.0
3125,862.2,5.25,0.36,2.347010836
3126,862.2,5.25,0.432,0.0
3127,862.2,5.25,0.504,0.0
3128,862.2,5.25,0.576,0.770557994
3141,862.2,5.5,0.0,5.016068602
3142,862.2,5.5,0.072,1.349984495
3143,862.2,5.5,0.144,0.0
3144,862.2,5.5,0.216,0.0
3145,862.2,5.5,0.288,0.0
3146,862.2,5.5,0.36,2.347010836
3147,862.2,5.5,0.432,0.0
3148,862.2,5.5,0.504,0.0
3149,862.2,5.5,0.576,0.770557994
3162,862.2,5.75,0.0,5.016068602
3163,862.2,5.75,0.072,1.349984495
3164,862.2,5.75,0.144,0.0
3165,862.2,5.75,0.216,0.0
3166,862.2,5.75,0.288,0.0
3167,862.2,5.75,0.36,2.347010836
3168,862.2,5.75,0.432,0.0
3169,862.2,5.75,0.504,0.0
3170,862.2,5.75,0.576,0.770557994
3183,862.2,6.000000000000001,0.0,5.016068602
3184,862.2,6.000000000000001,0.072,1.349984495
3185,862.2,6.000000000000001,0.144,0.0
3186,862.2,6.000000000000001,0.216,0.0
3187,862.2,6.000000000000001,0.288,0.0
3188,862.2,6.000000000000001,0.36,2.347010836
3189,862.2,6.000000000000001,0.432,0.0
3190,862.2,6.000000000000001,0.504,0.0
3191,862.2,6.000000000000001,0.576,0.770557994
3246,885.4,1.5000000000000002,0.0,9.551309758
3247,885.4,1.5000000000000002,0.072,6.994392112
3248,885.4,1.5000000000000002,0.144,3.243188454
3249,885.4,1.5000000000000002,0.216,2.962152095
3250,885.4,1.5000000000000002,0.288,2.962152095
3251,885.4,1.5000000000000002,0.36,9.589847711
