Mg_C_mol%,Na_C_mol%,Ce_C_mol%,La_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Ti_C_mol%,P_A_mol%,S_A_mol%,Si_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1008,4.0,0.2,0.28,6.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1023,4.0,0.2,0.28,23.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,873,6.0,0.2,0.28,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,923,6.0,0.2,0.28,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,973,6.0,0.2,0.28,0.5
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1008,6.0,0.2,0.28,4.5
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1023,6.0,0.2,0.28,7.1
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1048,6.0,0.2,0.28,21.2
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1123,3.0,1.0,0.9,21.1
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1123,4.0,1.0,0.9,18.6
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1123,5.0,1.0,0.9,16.3
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1123,6.0,1.0,0.9,14.7
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1048,4.0,1.0,0.9,9.4
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1073,4.0,1.0,0.9,13.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1098,4.0,1.0,0.9,16.0
0.0,3.17,0.0,0.0,12.71,1.58,0.0,0.0,0.0,0.0,82.54,0.0,0.0,0.0,1,973,3.0,1.0,0.07,9.5
0.0,2.77,0.0,0.0,1.03,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.81,1,1023,4.0,1.0,0.01,3.2
0.0,2.77,0.0,0.0,1.03,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.81,1,1023,4.0,1.0,0.01,1.6
0.0,2.65,0.0,0.0,10.64,1.33,0.0,0.0,0.0,0.0,85.38,0.0,0.0,0.0,1,973,3.0,1.0,0.07,12.1
0.0,2.62,0.0,0.0,2.19,0.98,0.0,0.0,0.0,0.0,94.21,0.0,0.0,0.0,1,1021,4.0,1.2,0.95,1.0
0.0,2.62,0.0,0.0,2.19,0.98,0.0,0.0,0.0,0.0,94.21,0.0,0.0,0.0,1,1031,4.0,1.2,0.95,1.4
0.0,2.62,0.0,0.0,2.19,0.98,0.0,0.0,0.0,0.0,94.21,0.0,0.0,0.0,1,1041,4.0,1.2,0.95,2.0
0.0,2.62,0.0,0.0,2.19,0.98,0.0,0.0,0.0,0.0,94.21,0.0,0.0,0.0,1,1052,4.0,1.2,0.95,2.7
0.0,2.62,0.0,0.0,2.19,0.98,0.0,0.0,0.0,0.0,94.21,0.0,0.0,0.0,1,1061,4.0,1.2,0.95,4.1
0.0,2.62,0.0,0.0,2.19,0.98,0.0,0.0,0.0,0.0,94.21,0.0,0.0,0.0,1,1071,4.0,1.2,0.95,5.5
0.0,2.15,0.0,0.0,1.08,1.08,0.0,0.0,0.0,0.0,95.7,0.0,0.0,0.0,1,1073,5.0,1.0,0.13,23.4
