Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
Na,66.36,W,1.65,Mn,0.98,Zr,8.06,,,,,S,18.29,P,4.66,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,12.5,,,,64.2,8
Na,65.57,W,0,Mn,2.55,Zr,13.99,,,,,S,15.87,P,2.02,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,14.1,,,,58.6,8.2
Na,64,W,0.68,Mn,0,Zr,19.8,,,,,S,11.23,P,4.29,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.17,,8.8,,,,81.8,7.2
Na,62.68,W,3.37,Mn,5.98,Zr,0,,,,,S,27.97,P,0,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,16.5,,,,65.9,10.9
Na,60.37,W,2.22,Mn,0,Zr,32.49,,,,,S,4.92,P,0,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.15,,13.1,,,,59.5,7.8
Na,58.87,W,0,Mn,0,Zr,11.69,,,,,S,15.92,P,13.52,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,14.3,,,,57.1,8.2
Na,57.8,W,1.54,Mn,2.74,Zr,22.56,,,,,S,15.36,P,0,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.16,,12.9,,,,60.5,7.8
Na,56.02,W,0.46,Mn,3.29,Zr,27.09,,,,,S,9.22,P,3.91,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.16,,14.6,,,,57.6,8.4
Na,54.85,W,0,Mn,3.55,Zr,21.96,,,,,S,13.29,P,6.35,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.17,,11.8,,,,71,8.4
Na,52,W,6.79,Mn,6.57,Zr,20.22,,,,,S,10.76,P,3.65,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.15,,22.1,,,,77.6,17.2
Na,49.2,W,0.56,Mn,3.07,Zr,33.71,,,,,S,3.71,P,9.75,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.15,,23.9,,,,78.8,18.8
Na,49.2,W,0.56,Mn,3.07,Zr,33.71,,,,,S,3.71,P,9.75,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.15,,13.3,,,,56,7.4
Na,48.55,W,2.25,Mn,3,Zr,32.94,,,,,S,3.74,P,9.52,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.15,,21.6,,,,63.2,13.7
Na,44.18,W,1.09,Mn,1.93,Zr,31.8,,,,,S,7.22,P,13.79,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.15,,21.5,,,,58.1,12.5
Na,41.35,W,1.84,Mn,2.17,Zr,35.81,,,,,S,16.25,P,2.59,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.15,,20.3,,,,64,13
Na,39.42,W,1.66,Mn,4.42,Zr,36.45,,,,,S,11.03,P,7.02,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.15,,24,,,,61.9,14.9
Na,39.42,W,1.66,Mn,4.42,Zr,36.45,,,,,S,11.03,P,7.02,,,,,,,Impregnation,1080,0.25,0.75,0.3,1,0.15,,16.9,,,,74.1,12.6
Na,39.42,W,1.66,Mn,4.42,Zr,36.45,,,,,S,11.03,P,7.02,,,,,,,Impregnation,1095,0.25,0.75,0.3,1,0.15,,22.3,,,,61,13.6
Na,39.42,W,1.66,Mn,4.42,Zr,36.45,,,,,S,11.03,P,7.02,,,,,,,Impregnation,1105,0.25,0.75,0.3,1,0.15,,25.2,,,,57.6,14.6
Na,39.42,W,1.66,Mn,4.42,Zr,36.45,,,,,S,11.03,P,7.02,,,,,,,Impregnation,1115,0.25,0.75,0.3,1,0.15,,23.1,,,,54.2,12.5
Na,39.42,W,1.66,Mn,4.42,Zr,36.45,,,,,S,11.03,P,7.02,,,,,,,Impregnation,1130,0.25,0.75,0.3,1,0.15,,21.3,,,,50.8,10.8
Na,35.81,W,2.84,Mn,9.07,Zr,37.22,,,,,S,3.3,P,11.76,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.14,,25.7,,,,72.1,18.5
Na,13.72,W,0.73,Mn,1.51,Zr,2.31,,,,,S,3.45,P,0.71,Si,77.57,,,,,Impregnation,1023,0.6,0.2,3,1,0.23,,31,69.3,30.7,20.9,51.6,16
Na,8.9,W,4.5,Mn,3.5,,,,,,,,,,,Si,83.1,,,,,Impregnation,1023,0.89,0.11,8.1,1,0.04,,15.1,,,,71.8,10.8
Na,8.9,W,4.5,Mn,3.5,,,,,,,,,,,Si,83.1,,,,,Impregnation,1073,0.76,0.24,3.2,1,0.14,,29.5,33.6,42.6,23.8,66.4,19.6
Na,8.9,W,4.5,Mn,3.5,,,,,,,,,,,Si,83.1,,,,,Impregnation,1073,0.42,0.17,2.5,1,0.11,,35.5,46,41,,54,19.2
Na,8.9,W,4.5,Mn,3.5,,,,,,,,,,,Si,83.1,,,,,Impregnation,1093,0.8,0.2,4,1,0.12,96.3,30.3,,42,,68.4,20.7
Na,8.9,W,4.5,Mn,3.5,,,,,,,,,,,Si,83.1,,,,,Impregnation,973,0.67,0.33,2,1,0.22,100,41,,,,42.8,17.5
Na,8.9,W,4.5,Mn,3.5,,,,,,,,,,,Si,83.1,,,,,Impregnation,1073,0.67,0.33,2,1,0.27,98.8,43.9,50.3,,,47.1,20.7
Na,6.16,W,3.08,Mn,24.7,,,,,,,,,,,Si,66.06,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,7.2,51.7,24.5,19.8,48.3,3.5
Na,5.67,W,2.84,Mn,22.74,,,,,,,,,,,Si,68.76,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,7.7,53.9,22.2,18.7,46.1,3.5
Na,5.36,W,2.68,Mn,2,,,,,,,,,,,La,89.96,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,93,18,66,,,34,6.1
Na,5.18,W,2.59,Mn,20.77,,,,,,,,,,,Si,71.46,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,11.4,58.4,23.7,14,41.6,4.8
Na,4.68,W,2.34,Mn,18.79,,,,,,,,,,,Si,74.18,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,12.4,59.2,23.5,13.7,40.8,5
Na,4.18,W,2.09,Mn,16.78,,,,,,,,,,,Si,76.94,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,18.8,64,24.3,8.6,36,6.8
Na,4.16,W,2.08,Mn,1.55,,,,,,,,,,,Zr,92.21,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,67,10,79,,,21,2.1
Na,3.68,W,1.84,Mn,14.75,,,,,,,,,,,Si,79.73,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,21.4,61.8,27.7,7.9,38.2,8.2
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,873,0.34,0.06,6,0.4,0.23,2.4,0.2,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,923,0.34,0.06,6,0.4,0.23,6.3,0.6,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,948,0.34,0.06,6,0.4,0.23,21,3.4,44.3,,,55.7,1.9
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,973,0.34,0.06,6,0.4,0.23,97.7,22.1,24.6,,,75.4,16.7
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,873,0.34,0.06,6,0.4,0.25,2.8,0.1,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,923,0.34,0.06,6,0.4,0.25,10.6,1.1,89.1,,,10.9,0.1
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,948,0.34,0.06,6,0.4,0.25,24.6,3.9,47.8,,,52.2,2.1
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,973,0.34,0.06,6,0.4,0.25,93.4,20.2,28.4,,,71.6,14.5
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,983,0.34,0.06,6,0.4,0.25,96.9,21.5,27,,,73,15.7
