Mg_C_mol%,Na_C_mol%,Ce_C_mol%,La_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Ti_C_mol%,P_A_mol%,S_A_mol%,Si_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1113.0,6.0,1.0,0.04,11.9
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1053.0,3.0,1.0,0.04,0.6
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.04,4.8
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1093.0,3.0,1.0,0.04,13.6
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1133.0,3.0,1.0,0.04,13.4
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1153.0,3.0,1.0,0.04,12.6
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1173.0,3.0,1.0,0.04,12.2
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1048.0,4.0,1.0,0.05,14.5
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1048.0,4.0,1.0,0.04,6.7
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1048.0,4.0,1.0,0.04,8.1
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1048.0,4.0,1.0,0.04,5.4
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.0,18.3
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.0,14.6
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1048.0,3.0,1.0,0.0,21.5
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1023.0,3.0,1.0,0.0,16.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1048.0,3.0,1.0,0.0,18.3
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1023.0,3.0,1.0,0.0,16.5
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,723.0,4.0,1.0,0.01,0.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,748.0,4.0,1.0,0.01,0.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,773.0,4.0,1.0,0.01,0.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,798.0,4.0,1.0,0.01,0.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,823.0,4.0,1.0,0.01,0.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,848.0,4.0,1.0,0.01,0.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,873.0,4.0,1.0,0.01,0.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,898.0,4.0,1.0,0.01,0.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,923.0,4.0,1.0,0.01,0.0
