,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
5774,1001.4,5.25,0.576,3.168072094
5775,1001.4,5.25,0.648,3.168072094
5776,1001.4,5.25,0.72,3.168072094
5777,1001.4,5.25,0.792,3.168072094
5778,1001.4,5.25,0.864,3.168072094
5779,1001.4,5.25,0.936,3.168072094
5780,1001.4,5.25,1.008,3.168072094
5781,1001.4,5.25,1.08,3.168072094
5782,1001.4,5.25,1.152,3.168072094
5783,1001.4,5.25,1.224,3.168072094
5784,1001.4,5.25,1.296,3.168072094
5785,1001.4,5.25,1.368,3.168072094
5786,1001.4,5.25,1.44,3.168072094
5787,1001.4,5.5,0,6.860085291
5788,1001.4,5.5,0.072,3.90064358
5789,1001.4,5.5,0.144,0
5790,1001.4,5.5,0.216,0
5791,1001.4,5.5,0.288,0
5792,1001.4,5.5,0.36,4.820862791
5793,1001.4,5.5,0.432,0.743254573
5794,1001.4,5.5,0.504,0.743254573
5795,1001.4,5.5,0.576,3.168072094
5796,1001.4,5.5,0.648,3.168072094
5797,1001.4,5.5,0.72,3.168072094
5798,1001.4,5.5,0.792,3.168072094
5799,1001.4,5.5,0.864,3.168072094
5800,1001.4,5.5,0.936,3.168072094
5801,1001.4,5.5,1.008,3.168072094
5802,1001.4,5.5,1.08,3.168072094
5803,1001.4,5.5,1.152,3.168072094
5804,1001.4,5.5,1.224,3.168072094
5805,1001.4,5.5,1.296,3.168072094
5806,1001.4,5.5,1.368,3.168072094
5807,1001.4,5.5,1.44,3.168072094
5808,1001.4,5.75,0,6.860085291
5809,1001.4,5.75,0.072,3.90064358
5810,1001.4,5.75,0.144,0
5811,1001.4,5.75,0.216,0
5812,1001.4,5.75,0.288,0
5813,1001.4,5.75,0.36,4.820862791
5814,1001.4,5.75,0.432,0.743254573
5815,1001.4,5.75,0.504,0.743254573
5816,1001.4,5.75,0.576,3.168072094
5817,1001.4,5.75,0.648,3.168072094
5818,1001.4,5.75,0.72,3.168072094
5819,1001.4,5.75,0.792,3.168072094
5820,1001.4,5.75,0.864,3.168072094
5821,1001.4,5.75,0.936,3.168072094
5822,1001.4,5.75,1.008,3.168072094
5823,1001.4,5.75,1.08,3.168072094
5824,1001.4,5.75,1.152,3.168072094
5825,1001.4,5.75,1.224,3.168072094
5826,1001.4,5.75,1.296,3.168072094
5827,1001.4,5.75,1.368,3.168072094
5828,1001.4,5.75,1.44,3.168072094
5829,1001.4,6,0,6.860085291
5830,1001.4,6,0.072,3.90064358
5831,1001.4,6,0.144,0
5832,1001.4,6,0.216,0
5833,1001.4,6,0.288,0
5834,1001.4,6,0.36,4.820862791
5835,1001.4,6,0.432,0.743254573
5836,1001.4,6,0.504,0.743254573
5837,1001.4,6,0.576,3.168072094
5838,1001.4,6,0.648,3.168072094
5839,1001.4,6,0.72,3.168072094
5840,1001.4,6,0.792,3.168072094
5841,1001.4,6,0.864,3.168072094
5842,1001.4,6,0.936,3.168072094
5843,1001.4,6,1.008,3.168072094
5844,1001.4,6,1.08,3.168072094
5845,1001.4,6,1.152,3.168072094
5846,1001.4,6,1.224,3.168072094
5847,1001.4,6,1.296,3.168072094
5848,1001.4,6,1.368,3.168072094
