,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables
486,723.0,5.75,0.0,5.063559949,1,['Temperature']
487,723.0,5.75,0.072,1.397475291,1,['Temperature']
488,723.0,5.75,0.144,0.0,1,['Temperature']
489,723.0,5.75,0.216,0.0,1,['Temperature']
490,723.0,5.75,0.288,0.0,1,['Temperature']
491,723.0,5.75,0.36,2.394502368,1,['Temperature']
492,723.0,5.75,0.432,0.0,1,['Temperature']
493,723.0,5.75,0.504,0.0,1,['Temperature']
494,723.0,5.75,0.576,0.81804925,1,['Temperature']
507,723.0,6.000000000000001,0.0,5.063559949,1,['Temperature']
508,723.0,6.000000000000001,0.072,1.397475291,1,['Temperature']
509,723.0,6.000000000000001,0.144,0.0,1,['Temperature']
510,723.0,6.000000000000001,0.216,0.0,1,['Temperature']
511,723.0,6.000000000000001,0.288,0.0,1,['Temperature']
512,723.0,6.000000000000001,0.36,2.394502368,1,['Temperature']
513,723.0,6.000000000000001,0.432,0.0,1,['Temperature']
514,723.0,6.000000000000001,0.504,0.0,1,['Temperature']
515,723.0,6.000000000000001,0.576,0.81804925,1,['Temperature']
570,746.2,1.5000000000000002,0.0,9.551309758,1,['Temperature']
571,746.2,1.5000000000000002,0.072,6.994392112,1,['Temperature']
572,746.2,1.5000000000000002,0.144,3.243188454,1,['Temperature']
573,746.2,1.5000000000000002,0.216,2.962152095,1,['Temperature']
574,746.2,1.5000000000000002,0.288,2.962152095,1,['Temperature']
575,746.2,1.5000000000000002,0.36,9.589847711,1,['Temperature']
576,746.2,1.5000000000000002,0.432,6.617509592,1,['Temperature']
577,746.2,1.5000000000000002,0.504,6.617509592,1,['Temperature']
578,746.2,1.5000000000000002,0.576,9.933110279,1,['Temperature']
591,746.2,1.75,0.0,9.551309758,1,['Temperature']
592,746.2,1.75,0.072,6.994392112,1,['Temperature']
593,746.2,1.75,0.144,3.243188454,1,['Temperature']
594,746.2,1.75,0.216,2.962152095,1,['Temperature']
595,746.2,1.75,0.288,2.962152095,1,['Temperature']
596,746.2,1.75,0.36,9.589847711,1,['Temperature']
597,746.2,1.75,0.432,6.617509592,1,['Temperature']
598,746.2,1.75,0.504,6.617509592,1,['Temperature']
599,746.2,1.75,0.576,9.933110279,1,['Temperature']
612,746.2,2.0,0.0,7.930769467,1,['Temperature']
613,746.2,2.0,0.072,5.287248717,1,['Temperature']
614,746.2,2.0,0.144,1.408573088,1,['Temperature']
615,746.2,2.0,0.216,1.193470945,1,['Temperature']
616,746.2,2.0,0.288,1.193470945,1,['Temperature']
617,746.2,2.0,0.36,7.821168953,1,['Temperature']
618,746.2,2.0,0.432,4.825053139,1,['Temperature']
619,746.2,2.0,0.504,4.825053139,1,['Temperature']
620,746.2,2.0,0.576,8.206915799,1,['Temperature']
633,746.2,2.25,0.0,7.046489346,1,['Temperature']
634,746.2,2.25,0.072,3.494753987,1,['Temperature']
635,746.2,2.25,0.144,0.0,1,['Temperature']
636,746.2,2.25,0.216,0.0,1,['Temperature']
637,746.2,2.25,0.288,0.0,1,['Temperature']
638,746.2,2.25,0.36,5.958626398,1,['Temperature']
639,746.2,2.25,0.432,2.044605542,1,['Temperature']
640,746.2,2.25,0.504,2.044605542,1,['Temperature']
641,746.2,2.25,0.576,4.701343831,1,['Temperature']
654,746.2,2.5,0.0,6.782047281,1,['Temperature']
655,746.2,2.5,0.072,3.4763208720000005,1,['Temperature']
656,746.2,2.5,0.144,0.0,1,['Temperature']
657,746.2,2.5,0.216,0.0,1,['Temperature']
658,746.2,2.5,0.288,0.0,1,['Temperature']
659,746.2,2.5,0.36,5.940193284,1,['Temperature']
660,746.2,2.5,0.432,2.026172611,1,['Temperature']
661,746.2,2.5,0.504,2.026172611,1,['Temperature']
662,746.2,2.5,0.576,4.682910717,1,['Temperature']
675,746.2,2.75,0.0,6.560958847,1,['Temperature']
676,746.2,2.75,0.072,3.335918263,1,['Temperature']
677,746.2,2.75,0.144,0.0,1,['Temperature']
678,746.2,2.75,0.216,0.0,1,['Temperature']
679,746.2,2.75,0.288,0.0,1,['Temperature']
680,746.2,2.75,0.36,5.807724179,1,['Temperature']
681,746.2,2.75,0.432,1.893703691,1,['Temperature']
682,746.2,2.75,0.504,1.893703691,1,['Temperature']
683,746.2,2.75,0.576,4.550441612,1,['Temperature']
696,746.2,3.0000000000000004,0.0,6.887156007,1,['Temperature']
697,746.2,3.0000000000000004,0.072,2.836903934,1,['Temperature']
698,746.2,3.0000000000000004,0.144,0.0,1,['Temperature']
699,746.2,3.0000000000000004,0.216,0.0,1,['Temperature']
700,746.2,3.0000000000000004,0.288,0.0,1,['Temperature']
701,746.2,3.0000000000000004,0.36,4.696822231,1,['Temperature']
702,746.2,3.0000000000000004,0.432,0.695549291,1,['Temperature']
703,746.2,3.0000000000000004,0.504,0.695549291,1,['Temperature']
704,746.2,3.0000000000000004,0.576,3.352292825,1,['Temperature']
717,746.2,3.25,0.0,6.887156007,1,['Temperature']
718,746.2,3.25,0.072,2.836903934,1,['Temperature']
719,746.2,3.25,0.144,0.0,1,['Temperature']
720,746.2,3.25,0.216,0.0,1,['Temperature']
721,746.2,3.25,0.288,0.0,1,['Temperature']
722,746.2,3.25,0.36,4.696822231,1,['Temperature']
723,746.2,3.25,0.432,0.695549291,1,['Temperature']
724,746.2,3.25,0.504,0.695549291,1,['Temperature']
725,746.2,3.25,0.576,3.352292825,1,['Temperature']
738,746.2,3.5,0.0,6.887156007,1,['Temperature']
739,746.2,3.5,0.072,2.836903934,1,['Temperature']
740,746.2,3.5,0.144,0.0,1,['Temperature']
741,746.2,3.5,0.216,0.0,1,['Temperature']
742,746.2,3.5,0.288,0.0,1,['Temperature']
743,746.2,3.5,0.36,4.696822231,1,['Temperature']
744,746.2,3.5,0.432,0.695549291,1,['Temperature']
745,746.2,3.5,0.504,0.695549291,1,['Temperature']
746,746.2,3.5,0.576,3.352292825,1,['Temperature']
759,746.2,3.75,0.0,6.887156007,1,['Temperature']
760,746.2,3.75,0.072,2.836903934,1,['Temperature']
761,746.2,3.75,0.144,0.0,1,['Temperature']
762,746.2,3.75,0.216,0.0,1,['Temperature']
