Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
3505,-3.0116805920471235,-0.32602623829614,2.455852545965045,0.596645435246792,0.8957256883598409,0.6792444407237285,[3.24221506],[11.62580435],891,1,1.0,0.0,1.0,1.0,0.1
3506,-3.0116805920471235,-0.32602623829614,2.935718845433913,0.596645435246792,0.8957256883598409,0.6792444407237285,[3.24221506],[11.62580435],891,1,1.0,0.0,1.0,1.0,0.1
3507,-3.0116805920471235,-0.32602623829614,3.4155851449027828,0.596645435246792,0.8957256883598409,0.6792444407237285,[3.24221506],[11.62580435],891,1,1.0,0.0,1.0,1.0,0.1
3508,-3.0116805920471235,-0.32602623829614,3.89545144437165,0.596645435246792,0.8957256883598409,0.6792444407237285,[3.24221506],[11.62580435],891,1,1.0,0.0,1.0,1.0,0.1
3509,-3.0116805920471235,-0.32602623829614,4.37531774384052,0.596645435246792,0.8957256883598409,0.6792444407237285,[3.24221506],[11.62580435],891,1,1.0,0.0,1.0,1.0,0.1
3510,-3.0116805920471235,-0.32602623829614,4.8551840433093885,0.596645435246792,0.8957256883598409,0.6792444407237285,[3.24221506],[11.62580435],891,1,1.0,0.0,1.0,1.0,0.1
3511,-3.0116805920471235,-0.32602623829614,5.335050342778257,0.5501897769694145,0.9459021272313948,0.730054594735487,[1.73988046],[12.59733347],324,27,3.901896507640779,0.0,0.5,1.0,0.1
3512,-3.0116805920471235,-0.32602623829614,5.814916642247125,0.6084753301964875,0.8824926710399947,0.6578353881505952,[1.01348009],[12.23223404],970,4,1.0,0.0,1.0,1.0,0.1
3513,-3.0116805920471235,-0.32602623829614,6.294782941715995,0.6084753301964875,0.8824926710399947,0.6578353881505952,[1.01348009],[12.23223404],970,4,1.0,0.0,1.0,1.0,0.1
3514,-3.0116805920471235,-0.32602623829614,6.774649241184863,0.6084753301964875,0.8824926710399947,0.6578353881505952,[1.01348009],[12.23223404],970,4,1.0,0.0,1.0,1.0,0.1
3515,-3.0116805920471235,-0.32602623829614,7.254515540653732,0.6084753301964875,0.8824926710399947,0.6578353881505952,[1.01348009],[12.23223404],970,4,1.0,0.0,1.0,1.0,0.1
3516,-3.0116805920471235,-0.32602623829614,7.7343818401226,0.6084753301964875,0.8824926710399947,0.6578353881505952,[1.01348009],[12.23223404],970,4,1.0,0.0,1.0,1.0,0.1
3517,-3.0116805920471235,0.05280706676627513,-1.862944149254773,0.6080788726996892,0.8829751754842633,0.6641183703827753,[1.01552286],[12.18632798],970,4,1.0,0.0,1.0,1.0,0.1
3518,-3.0116805920471235,0.05280706676627513,-1.3830778497859042,0.5617846000236534,0.9336297578117876,0.7328305907395584,[0.99221315],[12.20745759],970,4,1.0,0.0,1.0,1.0,0.1
3519,-3.0116805920471235,0.05280706676627513,-0.9032115503170357,0.5918663644279538,0.9009950484890014,0.6838402570355335,[1.06241503],[12.10982911],970,4,1.0,0.0,1.0,1.0,0.1
3520,-3.0116805920471235,0.05280706676627513,-0.42334525084816704,0.5856410356396378,0.9078405554499134,0.6928237455222408,[1.09601869],[12.12752919],970,4,1.0,0.0,1.0,1.0,0.1
3521,-3.0116805920471235,0.05280706676627513,0.05652104862070149,0.5856410356396378,0.9078405554499134,0.6928237455222408,[1.09601869],[12.12752919],970,4,1.0,0.0,1.0,1.0,0.1
3522,-3.0116805920471235,0.05280706676627513,0.5363873480895702,0.5501188991347672,0.9459885169287013,0.7525479492288782,[1.05663481],[12.15581946],970,4,1.0,0.0,1.0,1.0,0.1
3523,-3.0116805920471235,0.05280706676627513,1.016253647558439,0.5885668358994964,0.9046297336812227,0.6887258112019197,[1.09557428],[12.2256041],970,4,1.0,0.0,1.0,1.0,0.1
3524,-3.0116805920471235,0.05280706676627513,1.4961199470273077,0.5885668358994964,0.9046297336812227,0.6887258112019197,[1.09557428],[12.2256041],970,4,1.0,0.0,1.0,1.0,0.1
3525,-3.0116805920471235,0.05280706676627513,1.975986246496176,0.591549378067783,0.9013567104419256,0.6746506026063587,[1.12669363],[12.12199084],306,13,2.872411017441145,0.0,1.0,1.0,0.1
3526,-3.0116805920471235,0.05280706676627513,2.455852545965045,0.5378968297708654,0.9587301594113509,0.7374817958985752,[2.74121752],[12.59738879],932,11,7.764266851469213,0.0,1.0,1.0,0.1
3527,-3.0116805920471235,0.05280706676627513,2.935718845433913,0.5923382311154786,0.9004858810269165,0.673506912828168,[1.10530462],[12.11665837],303,31,2.140802875246748,0.0,1.0,1.0,0.1
3528,-3.0116805920471235,0.05280706676627513,3.4155851449027828,0.5659659031951163,0.9291564361467163,0.7200554357590901,[2.91029062],[12.70674757],316,34,4.596186085616374,0.0,1.0,0.5,0.1
3529,-3.0116805920471235,0.05280706676627513,3.89545144437165,0.589890523696246,0.9031852110829185,0.6757100270219712,[1.07886591],[12.11624734],967,50,2.380710129601786,0.0,1.0,1.0,0.1
3530,-3.0116805920471235,0.05280706676627513,4.37531774384052,0.5945760676345406,0.8980108962968737,0.6702426930134482,[1.16318502],[12.08411614],374,43,2.7158063647630373,0.0,0.8439523879930101,1.0,0.1
3531,-3.0116805920471235,0.05280706676627513,4.8551840433093885,0.5591225440823417,0.9364527329820096,0.723925964399379,[3.09249773],[12.64698843],968,50,6.3928613915280765,0.0,1.0,0.5,0.1
3532,-3.0116805920471235,0.05280706676627513,5.335050342778257,0.591549378067783,0.9013567104419256,0.6746506026063587,[1.12669363],[12.12199084],306,13,2.872411017441145,0.0,1.0,1.0,0.1
3533,-3.0116805920471235,0.05280706676627513,5.814916642247125,0.5378968297708654,0.9587301594113509,0.7374817958985752,[2.74121752],[12.59738879],932,11,7.764266851469213,0.0,1.0,1.0,0.1
3534,-3.0116805920471235,0.05280706676627513,6.294782941715995,0.5923382311154786,0.9004858810269165,0.673506912828168,[1.10530462],[12.11665837],303,31,2.140802875246748,0.0,1.0,1.0,0.1
3535,-3.0116805920471235,0.05280706676627513,6.774649241184863,0.5659659031951163,0.9291564361467163,0.7200554357590901,[2.91029062],[12.70674757],316,34,4.596186085616374,0.0,1.0,0.5,0.1
3536,-3.0116805920471235,0.05280706676627513,7.254515540653732,0.589890523696246,0.9031852110829185,0.6757100270219712,[1.07886591],[12.11624734],967,50,2.380710129601786,0.0,1.0,1.0,0.1
3537,-3.0116805920471235,0.05280706676627513,7.7343818401226,0.5945760676345406,0.8980108962968737,0.6702426930134482,[1.16318502],[12.08411614],374,43,2.7158063647630373,0.0,0.8439523879930101,1.0,0.1
3538,-3.0116805920471235,0.4316403718286903,-1.862944149254773,0.5739163019662039,0.9206543618988726,0.7133289634174521,[3.03829279],[12.7475615],968,50,6.3928613915280765,0.0,1.0,0.5,0.1
3539,-3.0116805920471235,0.4316403718286903,-1.3830778497859042,0.5471449959971877,0.949096678015528,0.7313132315715812,[0.95467272],[12.61178116],306,13,2.872411017441145,0.0,1.0,1.0,0.1
3540,-3.0116805920471235,0.4316403718286903,-0.9032115503170357,0.537129974895444,0.9595127257233931,0.73924681270609,[2.72631922],[12.60052495],932,11,7.764266851469213,0.0,1.0,1.0,0.1
3541,-3.0116805920471235,0.4316403718286903,-0.42334525084816704,0.5467160287548934,0.9495249730179646,0.7318234629963497,[0.92856779],[12.61260657],303,31,2.140802875246748,0.0,1.0,1.0,0.1
3542,-3.0116805920471235,0.4316403718286903,0.05652104862070149,0.5652344371112886,0.9299268317464695,0.7206890397271689,[2.90115824],[12.71930937],316,34,4.596186085616374,0.0,1.0,0.5,0.1
3543,-3.0116805920471235,0.4316403718286903,0.5363873480895702,0.5447334549223212,0.9516338001127465,0.7334485782086397,[0.85389318],[12.61295084],967,50,2.380710129601786,0.0,1.0,1.0,0.1
3544,-3.0116805920471235,0.4316403718286903,1.016253647558439,0.541485474347303,0.9549876596390405,0.7369317848948046,[1.17762079],[12.6095262],374,43,2.7158063647630373,0.0,0.8439523879930101,1.0,0.1
3545,-3.0116805920471235,0.4316403718286903,1.4961199470273077,0.5576307807834124,0.938023374340491,0.7258685878651991,[3.07343187],[12.65722374],968,50,6.3928613915280765,0.0,1.0,0.5,0.1
3546,-3.0116805920471235,0.4316403718286903,1.975986246496176,0.5926341753497684,0.9001589654217869,0.6726086827759966,[1.12245741],[12.10521905],306,13,2.872411017441145,0.0,1.0,1.0,0.1
