,Order,RMSE,MAE,R2
144,2650,0.9578637452696342,0.5380880985761972,0.7406340340305659
145,1116,0.9578661460082589,0.5368734377048413,0.7406418811980814
146,6257,0.9578806341131458,0.5393932231415569,0.7406252583106133
147,4272,0.957885676835502,0.5361403068455896,0.7406329557103598
148,3701,0.9578870891983089,0.5363914638749054,0.7406358665821655
149,3208,0.9578895146494429,0.5376227052922996,0.7406191594927135
150,2189,0.9578940468881777,0.536260502080385,0.7405765370108888
151,4203,0.9579193070609806,0.5401119735762019,0.7406184801443143
152,1034,0.9579255683033038,0.5381543302627887,0.7405905626477052
153,889,0.9579299141676983,0.5396998479661502,0.7405571089998355
154,86,0.9579445974164169,0.5366123920214332,0.7405736257888836
155,7599,0.9579691888610057,0.543545302786907,0.7404444666221466
156,3199,0.9580132668113616,0.5391546212955991,0.7405529433358751
157,3936,0.9580354534612103,0.5388094814027088,0.7405419035325489
158,513,0.9580389058289793,0.5363915631596808,0.740498067685976
159,1313,0.9580623246276881,0.5361164007236164,0.7404943834837738
160,4035,0.9580735092056368,0.5370428259289873,0.7405243644416349
161,5269,0.9581102722365693,0.536190634305862,0.7405073554856705
162,3256,0.958201619342125,0.5377595062344916,0.7404418636931662
163,284,0.958209956706746,0.539253136577771,0.7404373468144765
164,2529,0.9582123542360982,0.544344045623083,0.7404126000835957
165,3042,0.9582516048460067,0.5392442569966313,0.7403913330389618
166,2212,0.9582517473794534,0.5407089760183864,0.7403827510142795
167,1752,0.958290440866071,0.5365879639325344,0.7403617842915126
168,5569,0.9582916916407319,0.5404440154483717,0.7404151084191539
169,3513,0.9583012170497531,0.5367476734525037,0.7403889122493503
170,2591,0.958302858594781,0.5367850485045031,0.7404116583993828
171,2480,0.9583040847589623,0.5382265311000303,0.7403698533533448
172,4407,0.9583465478727301,0.5378960440320828,0.7403619249987647
173,1244,0.9583563364720238,0.538674061618539,0.7403260756898971
174,3371,0.9584089098874835,0.5378291314987065,0.7403060921609974
175,1796,0.9584098194755345,0.5376052031697205,0.7403061009133229
176,677,0.9584179611270578,0.540757128645628,0.7402926792800401
177,7033,0.9584441340135282,0.5402873278189917,0.7402384766743537
178,4506,0.9584577270824403,0.541331765314202,0.7402742986046142
179,1018,0.9584821699923172,0.5400373347718951,0.7403083919143072
180,5378,0.9584918912422531,0.5427144393030501,0.7403021357076137
181,2187,0.958495291843059,0.5366777946977843,0.7402940068663209
182,5086,0.9584970209838954,0.5381185405608796,0.7403034755492215
183,4521,0.9585159549445774,0.5398171908514131,0.7402601772624922
184,3855,0.9585280764415566,0.537402854693197,0.740253930157195
185,7562,0.958537037793833,0.5387131683636885,0.7401756811210076
186,3314,0.9585550344087989,0.5408441376026374,0.7402268972778155
187,4116,0.9585714105877875,0.5393086045432823,0.740242831382111
188,3130,0.95858037205706,0.5366439541391913,0.740255175361437
189,2422,0.9585877605830759,0.537336549409854,0.7402326252747469
190,2476,0.9585891228088412,0.540232289151081,0.7402153815571474
191,3848,0.9586131095112762,0.5434306453968991,0.7402145503970385
192,1938,0.9586359700721172,0.5397296410282987,0.7401874044957029
193,7098,0.9586593970006841,0.5416167228761122,0.7402019706975542
194,5042,0.9586613178442703,0.5382649358454107,0.7402133002175142
195,5229,0.9586792574199801,0.5402328853326911,0.7402050807052829
196,3781,0.9586818273470432,0.5374412080736127,0.7401906674961378
197,6739,0.9587186638476132,0.5409085229876847,0.740115204779235
198,3431,0.9587243264027139,0.5369789551390011,0.7401832484524486
199,1245,0.9587313613393789,0.5390070325152527,0.7401228042562027
200,4087,0.9587339231380314,0.5366960017052997,0.7401547474316958
201,2132,0.9587488350629652,0.5366712742678579,0.7401292721907458
202,4919,0.958812236702311,0.5375073088673943,0.7401317723069272
203,3879,0.9588251752416475,0.5406034692259245,0.7400928869761842
204,1179,0.9588281622688631,0.5368582524072849,0.7401218478580904
205,52,0.9588337085536558,0.5436154964579024,0.740115735278609
206,1011,0.9588449288469426,0.5418693837036842,0.7401178484453299
207,4390,0.9588599115965141,0.5403560477408978,0.7400893709508618
208,2417,0.9588823545226983,0.5380482968497918,0.7400729369155759
209,5648,0.9589029008538074,0.5447193814029395,0.7400442579364492
210,2807,0.9589167723115184,0.5405198751606108,0.7400307948005098
211,3336,0.9589535098654683,0.5419670600820304,0.7400108747909183
212,2964,0.9589756711896124,0.5371722582292147,0.7400223432065458
213,4544,0.9589858194448101,0.5414841266242126,0.7400307025424013
214,2660,0.9589958948764914,0.5425584969598285,0.7400204440203211
215,4440,0.959004415678774,0.5385064372381555,0.7400053396747508
216,4277,0.9590209897217695,0.5425420448802099,0.7400177732151599
217,2937,0.9590777416659447,0.5425924844940156,0.7399752554202101
218,4068,0.9591352465156988,0.5371343964344525,0.7399489438450513
219,2903,0.9591498721972711,0.5380992144743746,0.7399509859243859
220,1329,0.9591696114796396,0.5375182730076895,0.7398851626127759
221,1919,0.959191476646123,0.5405710941823939,0.7399299730575166
222,3459,0.959221892520182,0.5404850860759484,0.7398988062302994
223,4459,0.9592627622208518,0.5377731216220806,0.7398684721431317
224,3520,0.9592702751001313,0.5430323734620388,0.7398635963859223
225,3722,0.9592956474392127,0.5396095368969663,0.7398649576233727
226,5315,0.959297790440574,0.5393471326331609,0.7398572523404681
227,5436,0.959324280388859,0.5392706974008117,0.7398430280327162
