Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,mean,std
862.2,2,1.08,8.206915799,-0.51869416,0.35713157
862.2,2,1.152,8.206915799,-0.51869416,0.35713157
862.2,2,1.224,8.206915799,-0.51869416,0.35713157
862.2,2,1.296,8.206915799,-0.51869416,0.35713157
862.2,2,1.368,8.206915799,-0.51869416,0.35713157
862.2,2,1.44,8.206915799,-0.51869416,0.35713157
862.2,2.25,0,7.046489346,-0.4255249,0.2811681
862.2,2.25,0.072,3.494753987,-0.42057484,0.27651596
862.2,2.25,0.144,0,-0.53857887,0.3753474
862.2,2.25,0.216,0,-0.53857887,0.3753474
862.2,2.25,0.288,0,-0.53857887,0.3753474
862.2,2.25,0.36,5.958626398,-0.42678973,0.28368673
862.2,2.25,0.432,2.044605542,-0.51869416,0.35713157
862.2,2.25,0.504,2.044605542,-0.51869416,0.35713157
862.2,2.25,0.576,4.701343831,-0.51869416,0.35713157
862.2,2.25,0.648,4.701343831,-0.51869416,0.35713157
862.2,2.25,0.72,4.701343831,-0.51869416,0.35713157
862.2,2.25,0.792,4.701343831,-0.51869416,0.35713157
862.2,2.25,0.864,4.701343831,-0.51869416,0.35713157
862.2,2.25,0.936,4.701343831,-0.51869416,0.35713157
862.2,2.25,1.008,4.701343831,-0.51869416,0.35713157
862.2,2.25,1.08,4.701343831,-0.51869416,0.35713157
862.2,2.25,1.152,4.701343831,-0.51869416,0.35713157
862.2,2.25,1.224,4.701343831,-0.51869416,0.35713157
862.2,2.25,1.296,4.701343831,-0.51869416,0.35713157
862.2,2.25,1.368,4.701343831,-0.51869416,0.35713157
862.2,2.25,1.44,4.701343831,-0.51869416,0.35713157
862.2,2.5,0,6.782047281,-0.4255249,0.2811681
862.2,2.5,0.072,3.476320872,-0.42057484,0.27651596
862.2,2.5,0.144,0,-0.53857887,0.3753474
862.2,2.5,0.216,0,-0.53857887,0.3753474
862.2,2.5,0.288,0,-0.53857887,0.3753474
862.2,2.5,0.36,5.940193284,-0.42678973,0.28368673
862.2,2.5,0.432,2.026172611,-0.51869416,0.35713157
862.2,2.5,0.504,2.026172611,-0.51869416,0.35713157
862.2,2.5,0.576,4.682910717,-0.51869416,0.35713157
862.2,2.5,0.648,4.682910717,-0.51869416,0.35713157
862.2,2.5,0.72,4.682910717,-0.51869416,0.35713157
862.2,2.5,0.792,4.682910717,-0.51869416,0.35713157
862.2,2.5,0.864,4.682910717,-0.51869416,0.35713157
862.2,2.5,0.936,4.682910717,-0.51869416,0.35713157
862.2,2.5,1.008,4.682910717,-0.51869416,0.35713157
862.2,2.5,1.08,4.682910717,-0.51869416,0.35713157
862.2,2.5,1.152,4.682910717,-0.51869416,0.35713157
862.2,2.5,1.224,4.682910717,-0.51869416,0.35713157
862.2,2.5,1.296,4.682910717,-0.51869416,0.35713157
862.2,2.5,1.368,4.682910717,-0.51869416,0.35713157
862.2,2.5,1.44,4.682910717,-0.51869416,0.35713157
