,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
29,29,1.0207419719698547,-4.493192593982707,4.1353845941060845,0.7838695438039365,0.6556354062614321,0.50492677173805,[3.4135808],[9.11033718],954,15,2.68926218816088,0.0,1.0,0.5113802795073176,0.1
30,30,1.0207419719698547,-4.493192593982707,2.935718845433913,0.580970306918899,0.9129075799185709,0.6957225369030816,[1.43247881],[12.44343047],932,14,2.4346375394759616,0.0,1.0,1.0,0.1
31,31,1.0207419719698547,-4.493192593982707,1.53610880531638,0.5765540752320661,0.9177564286643334,0.6999650244394888,[1.17692747],[12.41073136],951,11,2.2900433047311206,0.0,1.0,1.0,0.1
32,32,1.0207419719698547,-4.493192593982707,0.936275930980294,0.5458363283469398,0.9504681137775196,0.7344543175444809,[2.15731039],[12.60228352],972,14,4.110817534710219,0.0,0.5,1.0,0.1
33,33,1.0207419719698547,-4.493192593982707,0.5363873480895702,0.5473318748701905,0.9488478590505327,0.7326676238881036,[1.19521322],[12.61501507],946,15,5.87344436864787,0.0,1.0,1.0,0.1
34,34,0.6553305455930497,-4.796259238032639,-1.729647954957865,0.5656241042621168,0.929575672493716,0.7209261984114048,[2.90054025],[12.71421055],330,27,4.352093628835736,0.0,1.0,0.5,0.1
35,35,2.7403251549195256,-4.6447259160076735,-1.729647954957865,0.4791998613124079,1.0177072647197647,0.7957295213525778,[1.37561788],[12.60987715],300,10,2.4143894053740613,0.0,1.0,1.0,0.1
36,36,3.213210530230685,-4.796259238032639,-1.729647954957865,0.585051020632567,0.9084154299685847,0.7039655261075922,[2.95881357],[12.67165331],998,13,6.954311215956926,0.0,1.0,0.5,0.1
37,37,2.073986671526528,-4.341659271957741,-0.9298707891764172,0.5373043167217686,0.9594082274524793,0.7427847669040256,[3.0866107],[12.55803542],315,22,7.441381497362545,0.0,1.0,0.8619228828878623,0.1
38,38,2.8263043140670088,-4.341659271957741,-0.9298707891764172,0.5346984919758935,0.9620932128567141,0.7444453936097261,[1.35184755],[12.08968942],966,4,1.0,0.0,1.0,1.0,0.1
39,39,3.4711480076731354,-4.341659271957741,-0.9298707891764172,0.5556048279756252,0.9402088089804138,0.7306723839562104,[2.87283792],[12.7338243],990,19,3.534744062906226,0.0,0.6236088174073579,0.5,0.1
